scenario,policy,seed,window,profile,count,passed,percent
full,once,19,long_2_6s,200:4096,15,15,100.0
full,once,19,long_2_6s,32:1024,24,23,95.83333333333333
full,once,19,long_2_6s,32:2048,11,11,100.0
full,once,19,long_2_6s,32:256,30,29,96.66666666666667
full,once,19,long_2_6s,32:4096,5,5,100.0
full,once,19,long_2_6s,64:1024,26,26,100.0
full,once,19,long_2_6s,64:2048,9,9,100.0
full,once,19,long_2_6s,64:256,24,24,100.0
full,once,19,long_2_6s,64:4096,10,10,100.0
full,once,19,long_2_6s,80:1024,21,21,100.0
full,once,19,long_2_6s,80:2048,13,13,100.0
full,once,19,long_2_6s,80:256,32,32,100.0
full,once,19,long_2_6s,80:4096,8,8,100.0
full,once,19,full_population,128:1024,64,2,3.125
full,once,19,full_population,128:2048,32,3,9.375
full,once,19,full_population,128:256,96,70,72.91666666666667
full,once,19,full_population,128:4096,32,31,96.875
full,once,19,full_population,160:1024,64,0,0.0
full,once,19,full_population,160:2048,32,7,21.875
full,once,19,full_population,160:256,96,64,66.66666666666667
full,once,19,full_population,160:4096,32,32,100.0
full,once,19,full_population,200:1024,64,3,4.6875
full,once,19,full_population,200:2048,32,19,59.375
full,once,19,full_population,200:256,96,81,84.375
full,once,19,full_population,200:4096,32,32,100.0
full,once,19,full_population,32:1024,64,59,92.1875
full,once,19,full_population,32:2048,32,32,100.0
full,once,19,full_population,32:256,96,89,92.70833333333333
full,once,19,full_population,32:4096,32,32,100.0
full,once,19,full_population,64:1024,64,62,96.875
full,once,19,full_population,64:2048,32,32,100.0
full,once,19,full_population,64:256,96,92,95.83333333333333
full,once,19,full_population,64:4096,32,32,100.0
full,once,19,full_population,80:1024,64,64,100.0
full,once,19,full_population,80:2048,32,32,100.0
full,once,19,full_population,80:256,96,95,98.95833333333333
full,once,19,full_population,80:4096,32,32,100.0
full,once,43,warm_2_4s,128:1024,13,0,0.0
full,once,43,warm_2_4s,128:2048,4,1,25.0
full,once,43,warm_2_4s,128:256,13,9,69.23076923076923
full,once,43,warm_2_4s,128:4096,2,2,100.0
full,once,43,warm_2_4s,160:1024,7,0,0.0
full,once,43,warm_2_4s,160:2048,6,3,50.0
full,once,43,warm_2_4s,160:256,14,12,85.71428571428571
full,once,43,warm_2_4s,160:4096,9,9,100.0
full,once,43,warm_2_4s,200:1024,12,0,0.0
full,once,43,warm_2_4s,200:2048,1,1,100.0
full,once,43,warm_2_4s,200:256,16,15,93.75
full,once,43,warm_2_4s,200:4096,3,3,100.0
full,once,43,warm_2_4s,32:1024,6,6,100.0
full,once,43,warm_2_4s,32:2048,6,6,100.0
full,once,43,warm_2_4s,32:256,13,13,100.0
full,once,43,warm_2_4s,32:4096,5,5,100.0
full,once,43,warm_2_4s,64:1024,7,7,100.0
full,once,43,warm_2_4s,64:2048,2,2,100.0
full,once,43,warm_2_4s,64:256,13,13,100.0
full,once,43,warm_2_4s,64:4096,7,7,100.0
full,once,43,warm_2_4s,80:1024,7,7,100.0
full,once,43,warm_2_4s,80:2048,5,5,100.0
full,once,43,warm_2_4s,80:256,13,13,100.0
full,once,43,warm_2_4s,80:4096,5,5,100.0
full,once,43,long_2_6s,128:1024,25,0,0.0
full,once,43,long_2_6s,128:2048,10,1,10.0
full,once,43,long_2_6s,128:256,32,24,75.0
full,once,43,long_2_6s,128:4096,10,10,100.0
full,once,43,long_2_6s,160:1024,14,0,0.0
full,once,43,long_2_6s,160:2048,12,5,41.666666666666664
full,once,43,long_2_6s,160:256,27,23,85.18518518518519
full,once,43,long_2_6s,160:4096,11,11,100.0
full,once,43,long_2_6s,200:1024,15,0,0.0
full,once,43,long_2_6s,200:2048,8,5,62.5
full,once,43,long_2_6s,200:256,34,25,73.52941176470588
full,once,43,long_2_6s,200:4096,12,12,100.0
full,once,43,long_2_6s,32:1024,22,21,95.45454545454545
full,once,43,long_2_6s,32:2048,14,14,100.0
full,once,43,long_2_6s,32:256,17,17,100.0
full,once,43,long_2_6s,32:4096,12,12,100.0
full,once,43,long_2_6s,64:1024,17,17,100.0
full,once,43,long_2_6s,64:2048,9,9,100.0
full,once,43,long_2_6s,64:256,27,27,100.0
full,once,43,long_2_6s,64:4096,10,10,100.0
full,once,43,long_2_6s,80:1024,16,16,100.0
full,once,43,long_2_6s,80:2048,5,5,100.0
full,once,43,long_2_6s,80:256,18,18,100.0
full,once,43,long_2_6s,80:4096,12,12,100.0
full,once,43,full_population,128:1024,64,0,0.0
full,once,43,full_population,128:2048,32,4,12.5
full,once,43,full_population,128:256,96,60,62.5
full,once,43,full_population,128:4096,32,32,100.0
full,once,43,full_population,160:1024,64,1,1.5625
full,once,43,full_population,160:2048,32,7,21.875
full,once,43,full_population,160:256,96,69,71.875
full,once,43,full_population,160:4096,32,32,100.0
full,once,43,full_population,200:1024,64,1,1.5625
full,once,43,full_population,200:2048,32,20,62.5
full,once,43,full_population,200:256,96,64,66.66666666666667
