policy,request_id,npu_id,role,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,completed_after_window,slo_1_pass,slo_1p5_pass_recomputed,plot_ratio
static_aggressive,10000015,10,B,3424.2855203728145,3678.4222995209516,254.13677914813707,228.74273596704626,1.1110157359696406,True,False,False,True,1.1110157359696406
static_aggressive,10000016,10,A,3678.4222995209516,3732.4282610584605,54.00596153750894,48.19209238871334,1.1206394837954206,True,False,False,True,1.1206394837954206
static_aggressive,10000017,10,A,3732.4282610584605,3815.3446208240857,82.9163597656252,48.19209238871334,1.7205386953699553,False,False,False,False,1.7205386953699553
static_aggressive,10000018,10,B,3815.3446208240857,4078.1785415767413,262.83392075265556,228.74273596704626,1.1490372345223703,True,True,False,True,1.1490372345223703
static_aggressive,11000009,11,A,2077.655078136656,2213.466014531374,135.81093639471828,48.19209238871334,2.818116617541292,False,False,False,False,2.818116617541292
static_aggressive,11000010,11,B,2213.466014531374,2471.096788213717,257.6307736823428,228.74273596704626,1.1262905140710493,True,False,False,True,1.1262905140710493
static_aggressive,11000011,11,A,2471.096788213717,2525.748002269556,54.651214055838864,48.19209238871334,1.1340286621096838,True,False,False,True,1.1340286621096838
static_aggressive,11000012,11,B,2525.748002269556,2759.5717045600054,233.82370229044955,228.74273596704626,1.0222125800057549,True,False,False,True,1.0222125800057549
static_aggressive,11000013,11,B,2759.5717045600054,2996.114195398786,236.5424908387804,228.74273596704626,1.0340983718619936,True,False,False,True,1.0340983718619936
static_aggressive,11000014,11,A,2996.114195398786,3055.1561405263096,59.04194512752383,48.19209238871334,1.2251376149285342,True,False,False,True,1.2251376149285342
static_aggressive,11000015,11,B,3055.1561405263096,3292.9950469656756,237.83890643936593,228.74273596704626,1.0397659424412502,True,False,False,True,1.0397659424412502
static_aggressive,11000016,11,B,3292.9950469656756,3556.963445376508,263.9683984108324,228.74273596704626,1.1539968571892087,True,False,False,True,1.1539968571892087
static_aggressive,11000017,11,B,3556.963445376508,3951.7180164887254,394.7545711122175,228.74273596704626,1.725757845132567,False,False,False,False,1.725757845132567
static_aggressive,11000018,11,A,3951.7180164887254,4006.6752040146143,54.95718752588891,48.19209238871334,1.1403777010263196,True,True,False,True,1.1403777010263196
static_aggressive,12000009,12,B,2047.554459731408,2386.975848187988,339.42138845657996,228.74273596704626,1.4838564688037945,True,False,False,True,1.4838564688037945
static_aggressive,12000010,12,B,2386.975848187988,2615.7185841550354,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,12000011,12,B,2615.7185841550354,2866.2136127216895,250.49502856665413,228.74273596704626,1.095095009280389,True,False,False,True,1.095095009280389
static_aggressive,12000012,12,A,2866.2136127216895,2918.8226309841457,52.609018262456175,48.19209238871334,1.0916525026163273,True,False,False,True,1.0916525026163273
static_aggressive,12000013,12,B,2918.8226309841457,3177.7032260628066,258.8805950786609,228.74273596704626,1.1317543876713814,True,False,False,True,1.1317543876713814
static_aggressive,12000014,12,B,3177.7032260628066,3406.445962029854,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,12000015,12,A,3406.445962029854,3456.480386218279,50.034424188424964,48.19209238871334,1.0382289232194264,True,False,False,True,1.0382289232194264
static_aggressive,12000016,12,A,3456.480386218279,3515.1838058493972,58.70341963111832,48.19209238871334,1.2181131119525068,True,False,False,True,1.2181131119525068
static_aggressive,12000017,12,B,3515.1838058493972,3747.020698275835,231.83689242643777,228.74273596704626,1.0135267965835526,True,False,False,True,1.0135267965835526
static_aggressive,12000018,12,B,3747.020698275835,4030.9292810224792,283.90858274664424,228.74273596704626,1.2411698301429142,True,True,False,True,1.2411698301429142
static_aggressive,13000011,13,A,2065.0774530907834,2198.4353443653586,133.3578912745752,48.19209238871334,2.7672152144572126,False,False,False,False,2.7672152144572126
static_aggressive,13000012,13,A,2198.4353443653586,2289.0257369701094,90.59039260475083,48.19209238871334,1.8797771193260584,False,False,False,False,1.8797771193260584
static_aggressive,13000013,13,B,2289.0257369701094,2517.7684729371567,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,13000014,13,B,2517.7684729371567,2752.2953152370815,234.52684229992474,228.74273596704626,1.0252865137265463,True,False,False,True,1.0252865137265463
