case,label,block,start_s,end_s,duration_ms,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,ssd_busy_ssu_ms,ssd_served_gb,npu_link_busy_npu_ms,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,request_weighted_slo_alpha2_pct,ssd_outstanding_blocks_start,ssd_outstanding_blocks_end,ssd_outstanding_blocks_delta,ssd_outstanding_gb_start,ssd_outstanding_gb_end,ssd_outstanding_gb_delta,npu_link_outstanding_blocks_start,npu_link_outstanding_blocks_end,npu_link_outstanding_blocks_delta,npu_link_outstanding_gb_start,npu_link_outstanding_gb_end,npu_link_outstanding_gb_delta,active_remaining_compute_inventory_supported,active_remaining_compute_ms
baseline,Baseline,30,15.0,15.5,500.0,82.74850235757371,93.44746099441745,9.353523637545072,13239.760377211795,1868.949219888349,74.757968795534,1496.5637820072116,74.8281891003606,27,10896.113543092619,64.6505126953125,168.53870277014283,5.93335526833753,31.49424534125417,2343.6468341191758,55.55555555555556,6800,3130,-3670,1.1410085661654032,0.5251982789322233,-0.6158102872331801,532,116,-416,0.0892237550373487,0.019106554090833398,-0.07011720094651534,False,
baseline,Baseline,31,15.5,16.0,500.0,86.69104016856866,96.7017650604248,9.669759837939637,13870.566426970985,1934.035301208496,77.36141204833973,1547.1615740703419,77.3580787035171,29,11314.00596761284,78.039306640625,144.978299457662,6.897584009060819,28.55634543528774,2556.5604593581447,58.620689655172406,3130,4483,1353,0.5251982789322233,0.7522566895767545,0.22705841064453125,116,135,19,0.019106554090833398,0.02248567528077043,0.003379121189937037,False,
baseline,Baseline,32,16.0,16.5,500.0,77.31601215827915,95.73240870243336,9.575991182189455,12370.561945324665,1914.648174048667,76.58592696194671,1532.1585891503128,76.60792945751562,30,10525.949079672415,77.7640380859375,135.3575423647641,7.387840991565736,24.122595624180452,1844.6128656522505,56.666666666666664,4483,7936,3453,0.7522566895767545,1.3316587071222623,0.579402017545508,135,4,-131,0.02248567528077043,0.0003106122963822739,-0.022175062984388164,False,
baseline,Baseline,33,16.5,17.0,500.0,72.69254184833001,94.98346561112668,9.49662285288009,11630.806695732801,1899.6693122225333,75.98677248890135,1519.4596564608146,75.97298282304071,28,12668.719555685482,76.7958984375,164.96609602133717,6.061851641749812,35.650397296221705,-1037.9128599526812,46.42857142857143,7936,7040,-896,1.3316587071222623,1.181373034627179,-0.15028567249508346,4,87,83,0.0003106122963822739,0.014121307322059354,0.013810695025677082,False,
baseline,Baseline,34,17.0,17.5,500.0,66.44123448708275,96.43720294580672,9.643065365937014,10630.597517933242,1928.7440589161342,77.14976235664551,1542.8904585499222,77.14452292749615,28,9401.246608354453,73.8861083984375,127.23970462292294,7.859182029410688,24.495528085436852,1229.3509095787886,53.57142857142857,7040,9053,2013,1.181373034627179,1.5190374357943095,0.3376644011671306,87,117,30,0.014121307322059354,0.019233694767356285,0.005112387445296931,False,
baseline,Baseline,35,17.5,18.0,500.0,61.61642105873295,95.59916388243565,9.550317268217693,9858.627369397273,1911.9832776487128,76.4793311059484,1528.0507629148306,76.40253814574154,30,11708.758004198917,72.88037109375,160.657222630457,6.224432264089336,25.784041552835692,-1850.1306348016442,56.666666666666664,9053,5438,-3615,1.5190374357943095,0.9125319524043902,-0.6065054833899195,117,576,459,0.019233694767356285,0.09620299531489099,0.0769693005475347,False,
baseline,Baseline,36,18.0,18.5,500.0,77.9029702294835,94.9563097784232,9.502886175687287,12464.47523671736,1899.126195568464,75.9650478227386,1520.4617881099657,76.02308940549825,31,9207.828075792511,78.1722412109375,117.78897385001922,8.489758992834938,33.319564447370475,3256.6471609248492,41.935483870967744,5438,8235,2797,0.9125319524043902,1.3818408191189542,0.46930886671456395,576,230,-346,0.09620299531489099,0.03817096286348057,-0.05803203245141042,False,
baseline,Baseline,37,18.5,19.0,500.0,60.74089708921137,95.92353215273978,9.585655557331005,9718.54353427382,1918.4706430547958,76.7388257221919,1533.704889172961,76.685244458648,30,7409.403562136046,69.536865234375,106.55360343269064,9.384947742585682,21.24000326184204,2309.139972137774,50.0,8235,5207,-3028,1.3818408191189542,0.8737737639193098,-0.5080670551996445,230,549,319,0.03817096286348057,0.09175707062168187,0.053586107758201315,False,
baseline,Baseline,38,19.0,19.5,500.0,59.12009409242075,95.84774334068334,9.59428578289378,9459.21505478732,1916.9548668136667,76.67819467254662,1535.0857252630049,76.75428626315028,33,10425.204411261473,85.0445556640625,122.58520642335344,8.157591190461071,33.843170165850836,-965.9893564741524,36.36363636363637,5207,8287,3080,0.8737737639193098,1.3905330098296713,0.5167592459103617,549,96,-453,0.09175707062168187,0.015540875830813908,-0.07621619479086797,False,
baseline,Baseline,39,19.5,20.0,500.0,61.33893837965236,96.07914607887233,9.60559929524088,9814.230140744377,1921.5829215774465,76.86331686309791,1536.895887238541,76.84479436192703,27,12040.128254756566,74.897216796875,160.75534939315565,6.22063280491104,28.58701390414429,-2225.8981140121887,44.44444444444444,8287,9302,1015,1.3905330098296713,1.561037252688841,0.17050424285916965,96,205,109,0.015540875830813908,0.03428716331782462,0.018746287487010713,False,
