case,label,window_s,start_s,end_s,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms
baseline,Baseline,8.0,9.5,17.5,77.13207526678823,95.40863275527954,9.54085878989636,197458.1126829779,474,195141.6911735397,1224.4522705078125,159.37059849022071,6.274683093829016,27.315223916592902,2316.4215094381943
baseline,Baseline,8.0,10.0,18.0,75.8620957861952,95.58622234268121,9.557873521714129,194206.9652126597,471,190611.92566273024,1217.167724609375,156.60284265580836,6.385580127672799,27.772607495196596,3595.039549929468
baseline,Baseline,8.0,10.5,18.5,75.46080040760828,95.57510890659145,9.557452883876916,193179.64904347717,473,188107.20125283577,1217.8404541015625,154.45964257412365,6.474183050890526,28.08376849905193,5072.447790641396
baseline,Baseline,8.0,11.0,19.0,74.37877834135126,95.57490587234497,9.55688788320481,190409.67255385924,474,185295.8198245403,1212.7137451171875,152.7943594031209,6.544744216386135,27.445383189450613,5113.8527293189545
baseline,Baseline,8.0,11.5,19.5,73.19451296660496,95.48322430094802,9.548459766637057,187377.9531945087,480,181962.66052340777,1230.783447265625,147.84295395560108,6.763934115523093,27.958201098143874,5415.292671100935
baseline,Baseline,8.0,12.0,20.0,71.97638190876773,95.52820414149305,9.552632428893482,184259.5376864454,477,182992.69239028683,1229.9281005859375,148.783243754744,6.721186974847863,28.067906236392396,1266.8452961585717
baseline,Baseline,8.0,12.5,20.5,71.37267131742229,95.5075826073634,9.550526239556858,182714.03857260104,470,180057.0760661311,1217.6121826171875,147.87719656279123,6.762367851458305,28.317364228567783,2656.9625064699503
baseline,Baseline,8.0,13.0,21.0,71.14016795269583,95.46715027379352,9.54647426283458,182118.82995890133,470,178222.5717222981,1215.7833251953125,146.59073539577219,6.821713509384856,28.295729274343326,3896.2582366032293
baseline,Baseline,8.0,13.5,21.5,70.58121787463662,95.55041568249744,9.554860926019611,180687.91775906977,470,176863.3621878358,1211.58447265625,145.97691385074012,6.850398282994869,28.612380191203037,3824.55557123397
baseline,Baseline,8.0,14.0,22.0,70.63396828555771,95.5441427230835,9.554528750691412,180822.95881102775,481,186492.7647096781,1231.0345458984375,151.49271426300336,6.6009775114592015,28.56078329968773,-5669.805898650346
