order,strategy,start_ms,end_ms,npu,U_percent,compute_ms,active_ms,computed_roles
ordered,baseline,2000.0,20000.0,6,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,7,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,8,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,9,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,10,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,11,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,12,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,13,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,14,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,15,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,16,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,17,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,18,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,19,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,20,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,21,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,22,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,23,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,24,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,25,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,26,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,27,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,28,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,29,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,30,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,31,71.33729586754244,12840.71325615764,18000.0,"A,B"
random,once,2000.0,4000.0,0,99.62573452692034,1992.5146905384067,2000.0,"A,B"
random,once,2000.0,4000.0,1,99.25680165715792,1985.1360331431583,2000.0,"A,B"
random,once,2000.0,4000.0,2,99.84702393040459,1996.9404786080918,2000.0,"A,B"
random,once,2000.0,4000.0,3,98.58583062118903,1971.7166124237806,2000.0,"A,B"
random,once,2000.0,4000.0,4,99.74618288389317,1994.9236576778635,2000.0,"A,B"
