case,window_kind,start_s,end_s,U_percent,all_npus_active,mixed_npus,strict_nominal_underload,disk0_mean_GiB_s,disk1_mean_GiB_s,disk2_mean_GiB_s,disk0_peak_GiB_s,disk1_peak_GiB_s,disk2_peak_GiB_s,disk0_overload_percent,disk1_overload_percent,disk2_overload_percent,internal_layer_stall_card_ms,layer_zero_stall_card_ms,SLO_1p5_percent,SLO_count
short_shuffled,continuous_2s,2.0,4.0,98.85904498291238,True,19,False,26.798695769628285,29.466521147150896,28.921422530727334,76.61833471502379,82.9198238180603,84.54410080458068,17.361392135267895,17.361392135267895,17.361392135267895,648.1743578495025,82.03685308657487,89.62264150943396,106
short_shuffled,continuous_2s,4.0,6.0,99.43453353715442,True,20,False,27.37400175086335,30.46374937685597,29.710332610825173,59.27957656435546,67.59155298054198,63.839340166827384,11.861175046651033,11.861175046651033,11.861175046651033,334.8953781703676,27.003158050798447,95.9349593495935,123
short_shuffled,continuous_2s,6.0,8.0,99.74985526242207,True,23,False,27.026457644583203,29.91981720456994,29.045522885487628,51.913838061639396,56.055024870309445,56.05571196680602,6.46718676450655,6.46718676450655,6.46718676450655,137.46726657867293,22.625365471199984,98.46153846153847,130
short_shuffled,continuous_2s,8.0,10.0,99.49102014768602,True,19,False,25.530905269240638,28.370972867565094,27.19961661421205,68.44016604473876,76.79279483896178,72.20129744481811,9.0781140469212,9.0781140469212,9.0781140469212,285.6989285744239,40.04817690652908,95.28301886792453,106
short_shuffled,continuous_2s,10.0,12.0,99.0001374420427,True,22,False,29.715351090375844,32.72608272684574,31.839459342171093,60.76480585564269,67.08296034006041,63.39390386605224,20.1633848931162,20.1633848931162,20.1633848931162,563.7293501940057,76.18268689866636,92.7007299270073,137
short_shuffled,continuous_2s,12.0,14.0,98.92928618616084,True,21,False,27.798830122719316,30.267663751874714,29.463573955866465,69.42539985004576,74.12113623578796,74.10521237189941,12.336306702786715,12.336306702786715,12.336306702786715,614.5821212590381,70.67471959802424,89.47368421052632,114
short_shuffled,continuous_2s,14.0,16.0,99.25541324803919,True,22,False,28.400424305616713,31.264630138612524,30.564672384853406,53.76446934274291,57.31384544601745,57.06737500523071,20.53134352269326,20.53134352269326,20.53134352269326,416.12574431651774,60.409776938397044,95.96774193548387,124
short_shuffled,predefined_interval,2.0,4.0,98.85904498291238,True,19,False,26.798695769628285,29.466521147150896,28.921422530727334,76.61833471502379,82.9198238180603,84.54410080458068,17.361392135267895,17.361392135267895,17.361392135267895,648.1743578495025,82.03685308657487,89.62264150943396,106
short_shuffled,predefined_interval,4.0,8.0,99.59219439978826,True,30,False,27.20022969772327,30.19178329071298,29.37792774815639,59.27957656435546,67.59155298054198,63.839340166827384,9.164180905578792,9.164180905578792,9.164180905578792,472.36264474904056,49.62852352199843,97.23320158102767,253
short_shuffled,predefined_interval,8.0,12.0,99.24557879486436,True,29,False,27.623128179808223,30.548527797205402,29.519537978191586,68.44016604473876,76.79279483896178,72.20129744481811,14.6207494700187,14.6207494700187,14.6207494700187,849.4282787684297,116.23086380519544,93.82716049382717,243
strict_replay,continuous_2s,0.0,2.0,92.9364883348669,True,16,True,29.532251655508954,32.222476176554885,30.940865764747205,35.26503693079989,37.752890830583375,36.71823698231818,0.0,0.0,0.0,2297.272577351573,2223.3748883336148,70.14925373134328,536
strict_replay,continuous_2s,2.0,4.0,94.05798732445932,True,32,True,34.25795575745472,37.24816476122897,35.480070187021745,36.038960709998,37.752890830583375,36.83291590809113,0.0,0.0,0.0,3114.7878944776894,688.1002178683457,73.75296912114014,842
strict_replay,continuous_2s,4.0,6.0,98.04752308429204,True,32,True,31.697829746217327,34.63306909415383,33.219240476604995,35.54304321564192,37.752890830583375,37.03164326459872,0.0,0.0,0.0,775.9005214999179,473.68470455317856,100.0,820
strict_replay,continuous_2s,6.0,8.0,98.53077796904743,True,24,True,32.5551572228352,35.43924355433531,33.84810389747355,35.90923155454163,37.752890830583375,36.72300648471837,0.0,0.0,0.0,486.10944904801727,454.19265076162355,99.5505617977528,890
strict_replay,continuous_2s,8.0,10.0,99.29858701855188,True,24,True,32.22489410507354,35.19265951301822,33.723786802425714,35.49672661184303,37.752890830583375,36.83715537481986,0.0,0.0,0.0,104.7195949945226,344.184713132272,100.0,904
strict_replay,continuous_2s,10.0,12.0,99.45779552184906,True,24,True,31.454086394567202,34.18695523367448,32.64056834446826,35.63186114877675,37.752890830583375,36.71155984268651,0.0,0.0,0.0,6.08148315885046,340.9293828577447,100.0,839
strict_replay,continuous_2s,12.0,14.0,99.53975218837984,True,32,True,31.558925420559635,34.49250389545758,33.09901141473442,35.781940071988195,37.752890830583375,36.99804506098601,0.0,0.0,0.0,11.316496106030172,283.2421033308692,100.0,865
strict_replay,continuous_2s,14.0,16.0,99.42452787534629,True,32,True,32.11648952378147,34.93461248338982,33.35647903422146,35.80716518554916,37.752890830583375,36.85750514257494,0.0,0.0,0.0,17.00505382008305,351.29710595828874,100.0,898
strict_replay,predefined_interval,2.0,4.0,94.05798732445932,True,32,True,34.25795575745472,37.24816476122897,35.480070187021745,36.038960709998,37.752890830583375,36.83291590809113,0.0,0.0,0.0,3114.7878944776894,688.1002178683457,73.75296912114014,842
strict_replay,predefined_interval,4.0,8.0,98.28915052666973,True,32,True,32.12649348452631,35.03615632424451,33.53367218703924,35.90923155454163,37.752890830583375,37.03164326459872,0.0,0.0,0.0,1262.0099705479352,927.8773553148021,99.76608187134502,1710
strict_replay,predefined_interval,8.0,12.0,99.37819127020047,True,32,True,31.83949024982036,34.68980737334657,33.18217757344696,35.63186114877675,37.752890830583375,36.83715537481986,0.0,0.0,0.0,110.80107815337306,685.1140959900167,100.0,1743
