condition,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,admission_latency_ms,raw_ratio,plotted_ratio,slo_1p5_pass
full,asu_baseline,7,17000013,3919.286044422534,4209.687473670023,72.35128428205302,290.401429247489,4.01377020641946,4.01377020641946,False
full,asu_baseline,7,18000009,2071.49852175542,2273.0362262231934,122.48236916054397,201.53770446777344,1.6454425714415073,1.6454425714415073,False
full,asu_baseline,7,18000010,2273.0362262231934,3033.8896781813337,744.1386016188327,760.8534519581403,1.0224620121882475,1.0224620121882475,True
full,asu_baseline,7,18000011,3033.8896781813337,3268.005999365972,48.19209238871334,234.1163211846383,4.857982079223203,4.857982079223203,False
full,asu_baseline,7,18000012,3268.005999365972,3536.662587220853,26.717256165257165,268.65658785488085,10.055545606671954,10.055545606671954,False
full,asu_baseline,7,18000013,3536.662587220853,3936.840804069324,372.6508694745985,400.17821684847104,1.0738690007960625,1.0738690007960625,True
full,asu_baseline,7,18000014,3936.840804069324,4215.83040351001,229.85653940820262,278.9895994406861,1.2137553282538027,1.2137553282538027,True
full,asu_baseline,7,19000007,2157.889207790576,2385.6307230078673,114.952820977,227.74151521729118,1.9811737831371548,1.9811737831371548,False
full,asu_baseline,7,19000008,2385.6307230078673,2771.2421254804567,372.6508694745985,385.61140247258936,1.0347792909117963,1.0347792909117963,True
full,asu_baseline,7,19000009,2771.2421254804567,3061.8983345265583,283.5436075005082,290.6562090461016,1.025084683122615,1.025084683122615,True
full,asu_baseline,7,19000010,3061.8983345265583,3324.272558496001,243.80186035081854,262.3742239694425,1.0761781045964918,1.0761781045964918,True
full,asu_baseline,7,19000011,3324.272558496001,3586.497670355713,229.85653940820262,262.22511185971234,1.1408207594826194,1.1408207594826194,True
full,asu_baseline,7,19000012,3586.497670355713,3827.7856035128793,200.85214333740902,241.2879331571662,1.2013211766021814,1.2013211766021814,True
full,asu_baseline,7,19000013,3827.7856035128793,4108.583065470389,32.085964974046185,280.7974619575093,8.751410848470409,8.751410848470409,False
full,asu_baseline,7,20000008,2029.3946032753909,2185.3202786051543,32.085964974046185,155.9256753297634,4.859622437906703,4.859622437906703,False
full,asu_baseline,7,20000009,2185.3202786051543,2446.5703895056467,228.74273596704626,261.2501109004925,1.1421132557325422,1.1421132557325422,True
full,asu_baseline,7,20000010,2446.5703895056467,2651.8907391718535,58.057852632638046,205.32034966620677,3.5364785357352853,3.5364785357352853,False
full,asu_baseline,7,20000011,2651.8907391718535,2932.7592221520285,15.979837567787547,280.86848298017503,17.57642915885171,17.57642915885171,False
full,asu_baseline,7,20000012,2932.7592221520285,3184.0844479821067,15.979837567787547,251.32522583007812,15.727645838947963,15.727645838947963,False
