case,request_id,batch_id,npu_id,layer,io_submit_time_ms,io_submit_relative_ms,ssd_first_start_ms,ssd_last_end_ms,max_link_end_ms,io_ready_reported_ms,previous_compute_end_ms,compute_start_ms,compute_end_ms,reported_barrier_ms,reconstructed_barrier_ms,io_ready_minus_max_link_end_ms,compute_start_minus_max_ready_previous_ms,barrier_accounting_error_ms,ssd_interval_count,link_interval_count,complete_inside_trace
adaptive_t0_i100ms,533,673,21,3,10915.985497653142,9.923185841089435,10915.985597653142,10922.73796957697,10922.741326510564,10922.741326510564,10919.847878170951,10922.741326510564,10926.603707028373,2.8934483396133146,2.8934483396133146,0.0,0.0,0.0,1279,1279,True
adaptive_t0_i100ms,533,673,21,4,10922.741326510564,16.67901469851131,10922.741426510564,10929.447640597478,10929.450997531072,10929.450997531072,10926.603707028373,10929.450997531072,10933.31337804888,2.847290502699252,2.847290502699252,0.0,0.0,0.0,1279,1279,True
adaptive_t0_i100ms,533,673,21,5,10929.450997531072,23.388685719019122,10929.451097531071,10936.169900118963,10936.173257052556,10936.173257052556,10933.31337804888,10936.173257052556,10940.035637570365,2.8598790036758146,2.8598790036758146,0.0,0.0,0.0,1279,1279,True
adaptive_t0_i100ms,533,673,21,6,10936.173257052556,30.110945240503497,10936.173357052556,10942.913140475408,10942.916497409002,10942.916497409002,10940.035637570365,10942.916497409002,10946.77887792681,2.880859838636752,2.880859838636752,0.0,0.0,0.0,1279,1279,True
adaptive_t0_i100ms,533,673,21,7,10942.916497409002,36.85418559694881,10942.916797409,10949.635399996892,10949.638756930486,10949.638756930486,10946.77887792681,10949.638756930486,10953.501137448295,2.8598790036758146,2.8598790036758146,0.0,0.0,0.0,1279,1279,True
adaptive_t0_i100ms,534,661,22,13,,,,,,10905.436333834783,,10905.436333834783,10914.144699692773,7.300011217204883,,,,,0,0,False
adaptive_t0_i100ms,534,661,22,14,10905.44673383471,-0.6155779773434915,10906.062401950017,10920.790948092595,10920.79430502619,10920.79430502619,10914.144699692773,10920.79430502619,10929.50267088418,6.6496053334158205,6.6496053334158205,0.0,0.0,0.0,1362,1364,False
adaptive_t0_i100ms,534,661,22,15,10920.79430502619,14.73199321413631,10920.794405026189,10935.758675753728,10935.762032687322,10935.762032687322,10929.50267088418,10935.762032687322,10944.470398545312,6.259361803142383,6.259361803142383,0.0,0.0,0.0,1534,1534,True
adaptive_t0_i100ms,566,677,22,0,10935.762032687322,29.699720875269122,10935.762132687321,10951.351632296697,10951.35498923029,10951.35498923029,10944.470398545312,10951.35498923029,11087.322070185934,6.8845906849783205,6.8845906849783205,0.0,0.0,0.0,1504,1504,False
adaptive_t0_i100ms,695,641,23,9,,,,,,10898.797997653142,,10898.797997653142,10930.21441670816,27.22711274429821,,,,,0,0,False
adaptive_t0_i100ms,695,641,23,10,10898.816397653012,-7.245914159040694,10906.079186617986,10948.540200411931,10948.543557345525,10948.543557345525,10930.21441670816,10948.543557345525,10979.959976400543,18.329140637364617,18.329140637364617,0.0,0.0,0.0,315,315,False
adaptive_t0_i100ms,696,623,24,15,10857.906671053084,-48.15564075896873,10906.06659811701,10915.533150851385,10915.536507784978,10915.536507784978,,10915.536507784978,10946.952926839997,26.345917675938836,,0.0,,,71,71,False
adaptive_t0_i100ms,633,648,25,3,,,,,,10839.83555716242,,10839.83555716242,10932.852882364774,45.127993027908815,,,,,0,0,False
adaptive_t0_i100ms,954,659,26,1,,,,,,10843.989762484685,,10843.989762484685,10979.956843440328,40.389425392013436,,,,,0,0,False
adaptive_t0_i100ms,315,662,27,11,,,,,,10902.578744113103,,10902.578744113103,10916.94784673523,9.70850357904601,,,,,0,0,False
adaptive_t0_i100ms,315,662,27,12,10902.582344113078,-3.479967698975088,10906.46943014826,10921.869363009588,10921.872719943181,10921.872719943181,10916.94784673523,10921.872719943181,10936.241822565307,4.92487320795226,4.92487320795226,0.0,0.0,0.0,49,49,False
adaptive_t0_i100ms,315,662,27,13,10921.872719943181,15.810408131128497,10921.87291994318,10937.638558566228,10937.641915499822,10937.641915499822,10936.241822565307,10937.641915499822,10952.011018121948,1.4000929345147597,1.4000929345147597,0.0,0.0,0.0,240,240,True
