order,policy,seed,window,dimension,value,active_U_percent,compute_ms,active_ms,cohort_count,admission_latency_mean_ms,admission_latency_p50_ms,admission_latency_p95_ms,admission_latency_minimum_ms,admission_latency_maximum_ms,admission_normalized_mean,admission_normalized_p50,admission_normalized_p95,admission_normalized_minimum,admission_normalized_maximum,admission_slo1_count,admission_slo1_passed,admission_slo1_percent,admission_slo1p5_count,admission_slo1p5_passed,admission_slo1p5_percent,arrival_latency_mean_ms,arrival_latency_p50_ms,arrival_latency_p95_ms,arrival_latency_minimum_ms,arrival_latency_maximum_ms,arrival_normalized_mean,arrival_normalized_p50,arrival_normalized_p95,arrival_normalized_minimum,arrival_normalized_maximum,arrival_slo1_count,arrival_slo1_passed,arrival_slo1_percent,arrival_slo1p5_count,arrival_slo1p5_passed,arrival_slo1p5_percent
ordered,asu_baseline,43,long_2_6s,profile,80:2048,99.99999999999999,12442.867099654566,12442.867099654566,32,243.80186035081715,243.80186035081715,243.80186035081715,243.80186035081715,243.80186035081715,0.9999999999999943,0.9999999999999943,0.9999999999999943,0.9999999999999943,0.9999999999999943,32,32,100.0,32,32,100.0,2388.8395968642053,2388.8421975935753,2389.0645944441612,2388.4604463972864,2389.0687906111534,9.798282890158369,9.798293557547725,9.79920576080272,9.796727731939423,9.79922297218489,32,0,0.0,32,0,0.0
ordered,asu_baseline,43,long_2_6s,profile,80:4096,100.0,31132.212914176984,31132.212914176984,64,486.44082678401537,486.44082678401537,486.44082678401537,486.44082678401537,486.44082678401537,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,64,64,100.0,64,64,100.0,3118.5008370402284,2875.509617395169,3361.9378556782076,2874.901273181302,3361.950444179184,6.410853417994193,5.911324582695692,6.911298703903691,5.9100739799905515,6.911324582695691,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,full_population,length,128,99.99159364115631,71474.52614997956,71480.53506026011,128,558.4416801582821,376.1308903493641,744.1386016188335,372.65086947459713,744.1386016188335,1.0001259747807179,1.000000000000001,1.000000000000001,0.9999999999999963,1.0093385556289514,128,125,97.65625,128,128,100.0,4572.152001673173,4110.732204003146,5595.504209364092,3733.9929694399143,5599.009407240813,8.770510786723946,7.524148586110806,11.021648793996418,6.5186544952522745,11.031054911528527,128,0,0.0,128,0,0.0
ordered,asu_baseline,43,full_population,length,160,99.87478143201638,87967.20359327833,88077.4929686896,128,688.1054138178876,471.29669189453125,916.2487591871286,458.5501817142649,916.5215100416208,1.0018439757672855,0.999999999999998,1.0179994666960406,0.9999999999999978,1.027797416048584,128,98,76.5625,128,128,100.0,7087.530728308236,6531.797638865485,8353.04436513469,6053.471223866443,8363.870475974534,11.160283459281922,9.131487271357384,14.220598947620005,8.109679752535673,14.244455458389965,128,0,0.0,128,0,0.0
ordered,asu_baseline,43,full_population,length,32,98.41681235352424,21996.515644418974,22350.36384373538,128,174.61221752918266,126.23977095258593,228.74273596704643,114.9528209770001,228.74273596704643,1.024048466437484,1.0000000000000007,1.0979686525125476,1.0000000000000004,1.098187672817914,128,96,75.0,128,128,100.0,383.78224491367257,241.19259192958603,698.6528868617257,125.63142673871874,698.6780638636789,2.0748096111244574,2.054427328194297,3.0543172613025704,1.092895552026995,3.054427328194298,128,0,0.0,128,32,25.0
ordered,asu_baseline,43,full_population,length,64,100.0,38489.18419346686,38489.18419346686,128,300.69675151145987,200.8521433374093,400.54135968551054,200.85214333740896,400.54135968551054,1.0000000000000009,1.000000000000001,1.0000000000000013,0.9999999999999997,1.0000000000000013,128,128,100.0,128,128,100.0,1350.3461407213294,1100.3823505384971,1901.439892907565,898.9218629872206,1901.4650699095182,4.612046785992828,4.478569121814041,5.478443770889054,3.7457189619272557,5.478569121814043,128,0,0.0,128,0,0.0
ordered,asu_baseline,43,full_population,length,80,100.0,46735.53197662931,46735.53197662931,128,365.1213435674165,243.8018603508183,486.44082678401537,243.80186035081715,486.44082678401537,0.9999999999999979,0.999999999999999,0.9999999999999994,0.9999999999999943,0.9999999999999994,128,128,100.0,128,128,100.0,2692.7197518645125,2389.0687906111534,3361.925267177231,2144.6585860464693,3361.950444179184,7.854568154076282,6.911324582695691,9.79911970389187,5.9100739799905515,9.79922297218489,128,0,0.0,128,0,0.0
ordered,asu_baseline,43,full_population,category,LL,99.92711223175137,159441.7297432579,159558.02802894972,256,623.2735469880848,471.29669189453125,915.9373744307095,372.65086947459713,916.5215100416208,1.0009849752740017,0.999999999999998,1.005618239587581,0.9999999999999963,1.027797416048584,256,223,87.109375,256,256,100.0,5829.841364990704,5599.009407240813,8344.968334644727,3733.9929694399143,8363.870475974534,9.965397123002933,9.131487271357384,14.203665913803476,6.5186544952522745,14.244455458389965,256,0,0.0,256,0,0.0
ordered,asu_baseline,43,full_population,category,SL,99.67106861619725,107221.23181451515,107575.08001383155,384,280.1434375360197,228.74273596704643,486.44082678401537,114.9528209770001,486.44082678401537,1.008016155479161,1.0000000000000007,1.0955594291535158,0.9999999999999943,1.098187672817914,384,352,91.66666666666667,384,384,100.0,1475.6160458331715,1100.3823505384971,3361.6483201557467,125.63142673871874,3361.950444179184,4.8471415170645225,4.478569121814041,9.797983752668669,1.092895552026995,9.79922297218489,384,0,0.0,384,32,8.333333333333334
ordered,asu_baseline,43,full_population,profile,128:2048,99.97481139011542,23849.655646374216,23855.664556654767,64,372.74475869773073,372.65086947459713,372.6508694745976,372.65086947459713,376.1308903493641,1.0002519495614344,0.9999999999999963,0.9999999999999976,0.9999999999999963,1.0093385556289514,64,61,95.3125,64,64,100.0,3920.885333090399,3738.0813345285483,4107.239594627402,3733.9929694399143,4110.732204003146,10.52160521889689,10.03105491152853,11.021682574947995,10.020083878254415,11.031054911528527,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,full_population,profile,128:4096,100.0,47624.87050360534,47624.87050360534,64,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,64,64,100.0,64,64,100.0,5223.418670255947,4854.870805621979,5595.516797865069,4850.782440533345,5599.009407240813,7.019416354551003,6.5241485861108055,7.5194550930328425,6.5186544952522745,7.524148586110806,64,0,0.0,64,0,0.0
