scenario,policy,seed,request_id,npu,total_K,miss,category,admission_ms,completion_ms,TTFT_ms,SLO_base_ms,SLO_multiple
full,od_baseline,7,28000007,28,32,1024,SL,2091.7827929956543,2154.1288220575957,62.34602906194141,58.057852632638046,1.0738604036294086
full,od_baseline,7,28000008,28,160,256,LS,2154.1288220575957,2509.988816909955,355.85999485235925,58.92951067026337,6.0387400269374885
full,od_baseline,7,28000009,28,32,1024,SL,2509.988816909955,2580.874908996072,70.88609208611706,58.057852632638046,1.2209561475628439
full,od_baseline,7,28000010,28,64,256,SS,2580.874908996072,2732.7022685196807,151.82735952360872,26.717256165257165,5.682745210978791
full,od_baseline,7,28000011,28,80,256,SS,2732.7022685196807,2916.187764469412,183.4854959497311,32.085964974046185,5.7185593794093315
full,od_baseline,7,28000012,28,200,256,LS,2916.187764469412,3411.920697449319,495.7329329799072,72.35128428205302,6.851750288873248
full,od_baseline,7,28000013,28,160,256,LS,3411.920697449319,3792.2662148835875,380.34551743426846,58.92951067026337,6.454245302705288
full,od_baseline,7,28000014,28,128,2048,LL,3792.2662148835875,4188.443076920887,396.1768620372991,372.6508694745985,1.063131457591579
full,od_baseline,7,29000005,29,160,2048,LL,2180.7072523359266,2639.2574340501915,458.5501817142649,458.55018171426593,1.0
full,od_baseline,7,29000006,29,80,1024,SL,2639.2574340501915,2822.3733318384275,183.115897788236,122.48236916054397,1.4950388292066472
full,od_baseline,7,29000007,29,32,256,SS,2822.3733318384275,2888.670195565114,66.29686372668675,15.979837567787547,4.148782079007436
full,od_baseline,7,29000008,29,160,256,LS,2888.670195565114,3286.4476571443297,397.77746157921547,58.92951067026337,6.750055397625071
full,od_baseline,7,29000009,29,64,256,SS,3286.4476571443297,3425.493635096829,139.04597795249947,26.717256165257165,5.204350966747603
full,od_baseline,7,29000010,29,160,1024,LL,3425.493635096829,3817.417036102783,391.923401005954,229.85653940820262,1.705078315435423
full,od_baseline,7,29000011,29,128,1024,LL,3817.417036102783,4101.932132734407,284.5150966316237,186.90687789087698,1.522229143422608
full,od_baseline,7,30000006,30,200,256,LS,2108.198455036802,2445.3251384649443,337.1266834281423,72.35128428205302,4.659581191591477
full,od_baseline,7,30000007,30,64,1024,SL,2445.3251384649443,2572.5220521129636,127.19691364801929,101.00752608339441,1.259281546436473
full,od_baseline,7,30000008,30,32,1024,SL,2572.5220521129636,2639.726051061502,67.20399894853836,58.057852632638046,1.1575350430849156
