regime,policy,seed,request_id,npu_id,admission_ms,completion_ms,ideal_ms,ratio,passed,completed_after_window,raw_ratio,category,seq_len_k,miss_tokens
full,baseline,19,12000006,12,2165.9812822892122,2592.134019499964,400.5413596855101,1.0639419048892995,True,False,1.0639419048892995,SL,64,4096
full,baseline,19,12000007,12,2592.134019499964,2836.808216467874,72.35128428205302,3.3817533357677023,False,False,3.3817533357677023,LS,200,256
full,baseline,19,12000008,12,2836.808216467874,3119.3290889655814,48.19209238871334,5.862390663989393,False,False,5.862390663989393,LS,128,256
full,baseline,19,12000009,12,3119.3290889655814,3350.866273574994,58.92951067026337,3.929053236246359,False,False,3.929053236246359,LS,160,256
full,baseline,19,12000010,12,3350.866273574994,3837.0421030033276,458.55018171426593,1.0602456368260298,True,False,1.0602456368260298,LL,160,2048
full,baseline,19,12000011,12,3837.0421030033276,4967.728409238861,1130.6863062355314,1.0000000000000016,True,True,1.0000000000000016,LL,200,4096
full,baseline,19,13000007,13,2039.705189759915,2271.8826325572995,101.00752608339441,2.298615279476234,False,False,2.298615279476234,SL,64,1024
full,baseline,19,13000008,13,2271.8826325572995,2544.152982177641,243.80186035081854,1.1167689583195075,True,False,1.1167689583195075,SL,80,2048
full,baseline,19,13000009,13,2544.152982177641,2806.0416614445803,229.85653940820262,1.1393570961313855,True,False,1.1393570961313855,LL,160,1024
full,baseline,19,13000010,13,2806.0416614445803,3070.813249283002,58.92951067026337,4.493021999112388,False,False,4.493021999112388,LS,160,256
full,baseline,19,13000011,13,3070.813249283002,3268.2623517206816,58.057852632638046,3.4009026080768443,False,False,3.4009026080768443,SL,32,1024
full,baseline,19,13000012,13,3268.2623517206816,3579.2282306584475,229.85653940820262,1.3528694016641443,True,False,1.3528694016641443,LL,160,1024
full,baseline,19,13000013,13,3579.2282306584475,3861.1299544873364,186.90687789087698,1.508246924939131,False,False,1.508246924939131,LL,128,1024
full,baseline,19,13000014,13,3861.1299544873364,4111.603328830262,200.85214333740902,1.247053529930019,True,True,1.247053529930019,SL,64,2048
full,baseline,19,14000007,14,2370.960057438522,2771.5014171240327,400.5413596855101,1.000000000000001,True,False,1.000000000000001,SL,64,4096
full,baseline,19,14000008,14,2771.5014171240327,3053.49886054126,229.85653940820262,1.2268410728851509,True,False,1.2268410728851509,LL,160,1024
full,baseline,19,14000009,14,3053.49886054126,3248.9244045817168,32.085964974046185,6.090686198733101,False,False,6.090686198733101,SS,80,256
full,baseline,19,14000010,14,3248.9244045817168,3526.3525890264677,72.35128428205302,3.8344610907420753,False,False,3.8344610907420753,LS,200,256
full,baseline,19,14000011,14,3526.3525890264677,3830.70606532718,186.90687789087698,1.6283695909703493,False,False,1.6283695909703493,LL,128,1024
full,baseline,19,14000012,14,3830.70606532718,4137.692172739321,283.5436075005082,1.0826768768242843,True,True,1.0826768768242843,LL,200,1024
full,baseline,19,15000007,15,2077.4611630045683,2301.987932959722,48.19209238871334,4.658996088904789,False,False,4.658996088904789,LS,128,256
full,baseline,19,15000008,15,2301.987932959722,2553.0826227188995,26.717256165257165,9.398221441829733,False,False,9.398221441829733,SS,64,256
full,baseline,19,15000009,15,2553.0826227188995,2823.250081051942,200.85214333740902,1.345106175338101,True,False,1.345106175338101,SL,64,2048
full,baseline,19,15000010,15,2823.250081051942,3070.868505599294,15.979837567787547,15.495678444598596,False,False,15.495678444598596,SS,32,256
full,baseline,19,15000011,15,3070.868505599294,3289.2454852563965,122.48236916054397,1.7829258296829997,False,False,1.7829258296829997,SL,80,1024
full,baseline,19,15000012,15,3289.2454852563965,3603.623886396612,283.5436075005082,1.108747976762805,True,False,1.108747976762805,LL,200,1024
full,baseline,19,15000013,15,3603.623886396612,3856.3909115397246,32.085964974046185,7.87780655335041,False,False,7.87780655335041,SS,80,256
full,baseline,19,15000014,15,3856.3909115397246,4372.188073390463,486.44082678401566,1.0603492417789122,True,True,1.0603492417789122,SL,80,4096
full,baseline,19,16000007,16,2562.3615009199675,2962.902860605478,400.5413596855101,1.000000000000001,True,False,1.000000000000001,SL,64,4096
full,baseline,19,16000008,16,2962.902860605478,3182.8827228052246,122.48236916054397,1.796012468630547,False,False,1.796012468630547,SL,80,1024
full,baseline,19,16000009,16,3182.8827228052246,4322.75092039569,1130.6863062355314,1.0081206354974825,True,True,1.0081206354974825,LL,200,4096
full,baseline,19,17000007,17,2071.7273202097335,2269.202195175836,114.952820977,1.7178775891512374,False,False,1.7178775891512374,SL,32,2048
full,baseline,19,17000008,17,2269.202195175836,2743.9590646732495,458.55018171426593,1.0353433243065342,True,False,1.0353433243065342,LL,160,2048
full,baseline,19,17000009,17,2743.9590646732495,3036.268093662173,283.5436075005082,1.030913839199848,True,False,1.030913839199848,LL,200,1024
full,baseline,19,17000010,17,3036.268093662173,3209.7220890709737,15.979837567787547,10.85455309999222,False,False,10.85455309999222,SS,32,256
full,baseline,19,17000011,17,3209.7220890709737,3509.431706610596,229.85653940820262,1.3038985895779431,True,False,1.3038985895779431,LL,160,1024
full,baseline,19,17000012,17,3509.431706610596,3894.1766957929567,372.6508694745985,1.0324542908616148,True,False,1.0324542908616148,LL,128,2048
full,baseline,19,17000013,17,3894.1766957929567,4136.56664613096,72.35128428205302,3.350181724391714,False,True,3.350181724391714,LS,200,256
full,baseline,19,18000007,18,2059.0420547782837,2269.926103286908,58.92951067026337,3.5785813611895354,False,False,3.5785813611895354,LS,160,256
full,baseline,19,18000008,18,2269.926103286908,3423.6315051124866,1130.6863062355314,1.0203585162950155,True,False,1.0203585162950155,LL,200,4096
full,baseline,19,18000009,18,3423.6315051124866,3882.1816868267515,458.55018171426593,0.9999999999999978,True,False,0.9999999999999978,LL,160,2048
full,baseline,19,18000010,18,3882.1816868267515,4118.320215662768,101.00752608339441,2.3378310309377746,False,True,2.3378310309377746,SL,64,1024
full,baseline,19,19000007,19,2014.1879625216684,2207.5477063349394,58.057852632638046,3.3304666818588315,False,False,3.3304666818588315,SL,32,1024
full,baseline,19,19000008,19,2207.5477063349394,2446.407831629565,101.00752608339441,2.364775522740914,False,False,2.364775522740914,SL,64,1024
full,baseline,19,19000009,19,2446.407831629565,2696.728915015386,48.19209238871334,5.19423563033438,False,False,5.19423563033438,LS,128,256
full,baseline,19,19000010,19,2696.728915015386,3012.0482837590334,229.85653940820262,1.371809431898177,True,False,1.371809431898177,LL,160,1024
full,baseline,19,19000011,19,3012.0482837590334,3266.3385985350633,243.80186035081854,1.0430204035773925,True,False,1.0430204035773925,SL,80,2048
full,baseline,19,19000012,19,3266.3385985350633,3517.4742447664003,58.92951067026337,4.261627890252675,False,False,4.261627890252675,LS,160,256
