group,strategy,seed,npu,U_percent,active_ms,A_compute_ms,B_compute_ms
R32_A200_B10,once,43,10,96.2868408364553,2000.0,1435.58415766072,490.15265906838613
R32_A200_B10,once,43,11,94.69876845216473,2000.0,1552.3538187835102,341.62155025978427
R32_A200_B10,once,43,12,95.3405948017441,2000.0,1698.8683437028394,207.9435523320426
R32_A200_B10,once,43,13,98.04062172111439,2000.0,1816.8868327455507,143.92560167673696
R32_A200_B10,once,43,14,93.84792344424237,2000.0,1520.4838077442027,356.47466114064446
R32_A200_B10,once,43,15,94.77199723341427,2000.0,1434.9935073616198,460.44643730666576
R32_A200_B10,once,43,16,94.10548347033269,2000.0,1495.9287865042888,386.18088290236483
R32_A200_B10,once,43,17,98.97284007455679,2000.0,1949.7505797294152,29.70622176172037
R32_A200_B10,once,43,18,98.05867396554098,2000.0,1858.4194535446488,102.7540257661708
R32_A200_B10,once,43,19,95.0570162199796,2000.0,1604.0781067823882,297.0622176172037
R32_A200_B10,once,43,20,99.1422069820334,2000.0,1967.9910287598077,14.853110880860186
R32_A200_B10,once,43,21,99.42582662275099,2000.0,1691.4543148378161,297.0622176172037
R32_A200_B10,once,43,22,97.31461551090088,2000.0,1678.9363143625342,267.35599585548334
R32_A200_B10,once,43,23,97.94840257954488,2000.0,1409.4029489990708,549.5651025918269
R32_A200_B10,once,43,24,95.71740814549939,2000.0,1765.817054101386,148.53110880860186
R32_A200_B10,once,43,25,99.37429153378935,2000.0,1453.8073655866128,533.6784650891741
R32_A200_B10,once,43,26,99.63622361191725,2000.0,1777.2099211081331,215.51455113021166
R32_A200_B10,once,43,27,98.78677241947716,2000.0,1842.0574504618016,133.67799792774167
R32_A200_B10,once,43,28,95.31819946580372,2000.0,1683.5673261031716,222.79666321290279
R32_A200_B10,once,43,29,97.42707338820364,2000.0,1874.275913359772,74.26555440430093
R32_A200_B10,once,43,30,99.75695994658841,2000.0,1532.570096827425,462.5691021043431
R32_A200_B10,once,43,31,100.0,2000.0,1803.046784909685,196.9532150903151
R32_A200_B10,asu_baseline,7,0,93.68080862272696,2000.0,1324.0510698627122,549.5651025918269
R32_A200_B10,asu_baseline,7,1,98.04633461135185,2000.0,1812.3955834184353,148.53110880860186
R32_A200_B10,asu_baseline,7,2,98.02177768256783,2000.0,1752.492001319314,207.9435523320426
R32_A200_B10,asu_baseline,7,3,97.64381049285157,2000.0,1769.0689627063866,183.8072471506448
R32_A200_B10,asu_baseline,7,4,98.7193742975794,2000.0,1766.4439336195455,207.9435523320426
R32_A200_B10,asu_baseline,7,5,96.63462671270695,2000.0,1680.1896492795158,252.50288497462316
R32_A200_B10,asu_baseline,7,6,97.3221213664868,2000.0,1812.7644294019942,133.67799792774167
R32_A200_B10,asu_baseline,7,7,97.74056953253162,2000.0,1776.5740600803101,178.23733057032223
R32_A200_B10,asu_baseline,7,8,98.82354813912157,2000.0,1917.0585192589906,59.41244352344074
R32_A200_B10,asu_baseline,7,9,97.56861632456292,2000.0,1780.7473469280567,170.62497956320158
R32_A200_B10,asu_baseline,7,10,98.23277707144608,2000.0,1800.9356947862861,163.71984664263528
R32_A200_B10,asu_baseline,7,11,97.4840315116608,2000.0,1712.0308561394531,237.64977409376297
R32_A200_B10,asu_baseline,7,12,98.78523046053206,2000.0,1842.0266112828995,133.67799792774167
R32_A200_B10,asu_baseline,7,13,95.89933520202926,2000.0,1576.365153780801,341.62155025978427
R32_A200_B10,asu_baseline,7,14,99.4283955373006,2000.0,1899.4492454608508,89.11866528516111
R32_A200_B10,asu_baseline,7,15,99.54559357912517,2000.0,1901.7932062973423,89.11866528516111
R32_A200_B10,asu_baseline,7,16,98.32915537665681,2000.0,1743.7864443202334,222.79666321290279
R32_A200_B10,asu_baseline,7,17,99.57895295603862,2000.0,1947.0197264781918,44.55933264258056
R32_A200_B10,asu_baseline,7,18,99.07037507220198,2000.0,1890.7171160654593,90.69038537858023
R32_A200_B10,asu_baseline,7,19,98.05528745658192,2000.0,1783.261471728002,177.84427740363617
R32_A200_B10,asu_baseline,7,20,99.2667809492394,2000.0,1896.216953699627,89.11866528516111
R32_A200_B10,asu_baseline,7,21,98.23799657520189,2000.0,1875.6412662188768,89.11866528516111
R32_A200_B10,asu_baseline,7,22,98.34882541447205,2000.0,1803.592288599979,163.38421968946204
R32_A200_B10,asu_baseline,7,23,99.0984819062106,2000.0,1877.9978619581907,103.9717761660213
R32_A200_B10,asu_baseline,7,24,96.43772081888437,2000.0,1646.545309641344,282.20910673634353
R32_A200_B10,asu_baseline,7,25,95.64458552412425,2000.0,1556.4170493418405,356.47466114064446
R32_A200_B10,asu_baseline,7,26,97.95234820584596,2000.0,1691.690968261436,267.35599585548334
R32_A200_B10,asu_baseline,7,27,96.88867881105193,2000.0,1578.9714812671164,358.8020949539223
R32_A200_B10,asu_baseline,7,28,97.13065967291477,2000.0,1663.9799838889894,278.633209569306
R32_A200_B10,asu_baseline,7,29,98.96700741219419,2000.0,1919.9277047204432,59.41244352344074
R32_A200_B10,asu_baseline,7,30,97.08026347370041,2000.0,1718.8086062611055,222.79666321290279
R32_A200_B10,asu_baseline,7,31,99.09073899916643,2000.0,1892.6961146981675,89.11866528516111
R32_A200_B10,od_baseline,7,0,99.80278645524814,2000.0,1446.4906265131358,549.5651025918269
