group,strategy,seed,window,demand_kind,ssu,peak_GB_s,mean_GB_s,over40_percent,strictly_under40
X16,asu_baseline,43,full,ordinary_pending_demand,5,21.035431037869078,2.258091394849039,0.0,True
X16,od_baseline,43,warm,ordinary_demand,0,25.921409317253,24.447239534173857,0.0,True
X16,od_baseline,43,warm,ordinary_demand,1,23.194577781823487,21.390167834239765,0.0,True
X16,od_baseline,43,warm,ordinary_demand,2,23.25738741996956,21.763765454322957,0.0,True
X16,od_baseline,43,warm,ordinary_demand,3,23.86781346265564,21.309463028203954,0.0,True
X16,od_baseline,43,warm,ordinary_demand,4,24.78714771814274,23.194218816873835,0.0,True
X16,od_baseline,43,warm,ordinary_demand,5,22.00588166976713,20.704585450047,0.0,True
X16,od_baseline,43,warm,ordinary_pending_demand,0,9.151186056933309,1.8778857808024114,0.0,True
X16,od_baseline,43,warm,ordinary_pending_demand,1,8.338743641144042,1.6371042135838183,0.0,True
X16,od_baseline,43,warm,ordinary_pending_demand,2,8.762598291173834,1.6651799997547234,0.0,True
X16,od_baseline,43,warm,ordinary_pending_demand,3,8.078113516031355,1.6303976437603693,0.0,True
X16,od_baseline,43,warm,ordinary_pending_demand,4,8.874832762478006,1.7769351737907324,0.0,True
X16,od_baseline,43,warm,ordinary_pending_demand,5,7.388475693029626,1.5850009490008048,0.0,True
X16,od_baseline,43,full,ordinary_demand,0,28.22728278296058,24.329916290428127,0.0,True
X16,od_baseline,43,full,ordinary_demand,1,23.195416074793933,21.307196545498797,0.0,True
X16,od_baseline,43,full,ordinary_demand,2,24.006597199944522,21.712907948269766,0.0,True
X16,od_baseline,43,full,ordinary_demand,3,24.09366629167796,21.52911795144862,0.0,True
X16,od_baseline,43,full,ordinary_demand,4,25.603021324974875,23.25783387371792,0.0,True
X16,od_baseline,43,full,ordinary_demand,5,22.704079232351965,20.642800458778375,0.0,True
X16,od_baseline,43,full,ordinary_pending_demand,0,24.07287475350182,2.180107959102574,0.0,True
X16,od_baseline,43,full,ordinary_pending_demand,1,21.367677422022485,1.8964662541751538,0.0,True
X16,od_baseline,43,full,ordinary_pending_demand,2,20.10750633177501,1.9338709566684404,0.0,True
X16,od_baseline,43,full,ordinary_pending_demand,3,22.18881752868194,1.922729315866074,0.0,True
X16,od_baseline,43,full,ordinary_pending_demand,4,22.583325472856007,2.077803852338552,0.0,True
X16,od_baseline,43,full,ordinary_pending_demand,5,18.881150208171047,1.8382123179956213,0.0,True
X16,once,43,warm,ordinary_demand,0,26.0495826807672,24.446425678266973,0.0,True
X16,once,43,warm,ordinary_demand,1,23.294331933421784,21.389015800247527,0.0,True
X16,once,43,warm,ordinary_demand,2,23.247561619483793,21.76365278860704,0.0,True
X16,once,43,warm,ordinary_demand,3,23.6985756322317,21.310446315174243,0.0,True
X16,once,43,warm,ordinary_demand,4,25.111771397920275,23.194094351987538,0.0,True
X16,once,43,warm,ordinary_demand,5,22.07843039211154,20.703883244878476,0.0,True
X16,once,43,warm,ordinary_pending_demand,0,10.224959585299292,2.0474765601519174,0.0,True
X16,once,43,warm,ordinary_pending_demand,1,9.125427575942375,1.789608631268116,0.0,True
X16,once,43,warm,ordinary_pending_demand,2,9.069113575797584,1.8212378825192406,0.0,True
X16,once,43,warm,ordinary_pending_demand,3,8.805504477672933,1.780658173827774,0.0,True
X16,once,43,warm,ordinary_pending_demand,4,9.705622553266485,1.9440757370393127,0.0,True
X16,once,43,warm,ordinary_pending_demand,5,8.467324646814602,1.7357064258629138,0.0,True
X16,once,43,full,ordinary_demand,0,26.962031695390586,24.339501048392773,0.0,True
X16,once,43,full,ordinary_demand,1,23.294331933421734,21.316907939495035,0.0,True
X16,once,43,full,ordinary_demand,2,24.006597199944526,21.721803255403106,0.0,True
X16,once,43,full,ordinary_demand,3,23.904866061251795,21.53813955423004,0.0,True
X16,once,43,full,ordinary_demand,4,25.674627197867547,23.26770528339648,0.0,True
X16,once,43,full,ordinary_demand,5,22.427854347916327,20.651854366467155,0.0,True
X16,once,43,full,ordinary_pending_demand,0,24.857945562408226,2.1056487274434943,0.0,True
X16,once,43,full,ordinary_pending_demand,1,20.82663795572661,1.835929306231534,0.0,True
X16,once,43,full,ordinary_pending_demand,2,20.467165817443515,1.8732624798693995,0.0,True
