regime,policy,seed,npu_id,U_percent,mean_demand_GiB_s,mean_supply_GiB_s,source_cycle_count
semi,once,7,5,100.0,1.85040252518518,1.890625,17
semi,once,7,6,91.19452367153072,4.568384710466582,4.3035888671875,48
semi,once,7,7,100.0,2.795139605753227,2.870849609375,30
semi,once,7,8,100.0,3.0840375148010217,2.9889297485351562,52
semi,once,7,9,98.37023618952803,4.624831170935056,4.6016845703125,48
semi,once,7,10,100.0,2.141816244400528,2.129638671875,26
semi,once,7,11,99.47364894213675,2.1998774518665227,2.2979888916015625,35
semi,once,7,12,94.80486837947755,4.006749804302712,4.01220703125,65
semi,once,7,13,99.51855851477032,2.5997175932805896,2.596923828125,37
semi,once,7,14,99.94923402319971,2.230816619683222,2.265594482421875,36
semi,once,7,15,99.82134752756187,2.932785427412362,3.0003433227539062,35
semi,once,7,16,99.50777198344728,3.1710141366661384,3.1246337890625,47
semi,once,7,17,98.1941820392365,3.673556528586608,3.5341796875,44
semi,once,7,18,99.6946693088069,2.6029688403113163,2.618408203125,46
semi,once,7,19,93.07369825205917,5.534969065919229,4.86688232421875,67
semi,once,7,20,99.72909345440736,4.243647640327265,4.3331298828125,72
semi,once,7,21,94.59667194752126,3.9995765395489085,3.6134033203125,29
semi,once,7,22,98.8428541494635,5.348971862086729,5.25225830078125,75
semi,once,7,23,98.99845504523579,1.8275126560672865,1.9774017333984375,34
semi,once,7,24,98.4856466872468,4.377278894236884,3.9026870727539062,41
semi,once,7,25,98.4367182052888,3.8628291815387876,3.5247802734375,48
semi,once,7,26,98.56815695517146,5.229408670181554,4.9776611328125,78
semi,once,7,27,99.00142379868977,2.845187945171895,2.9152450561523438,46
semi,once,7,28,100.0,2.4989665115926325,2.4602127075195312,47
semi,once,7,29,100.0,2.7912868027153555,2.8787384033203125,49
semi,once,7,30,99.139999336849,4.560181310258139,4.476051330566406,75
semi,once,7,31,99.61325320946239,3.104487424386114,3.0185546875,46
