strategy,input_fingerprint,npu_id,request_id,layer,state,actual_start_ms,actual_end_ms,clipped_start_ms,clipped_end_ms
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000238,0,compute,1006.7279458624812,1007.2558547072367,1006.7279458624812,1007.2558547072367
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000238,1,compute,1007.2558547072367,1007.7837635519923,1007.2558547072367,1007.7837635519923
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000238,2,compute,1007.7837635519923,1008.3116723967478,1007.7837635519923,1008.3116723967478
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000238,3,compute,1008.3116723967478,1008.8395812415033,1008.3116723967478,1008.8395812415033
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000238,4,compute,1008.8395812415033,1009.3674900862588,1008.8395812415033,1009.3674900862588
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000238,5,compute,1009.3674900862588,1009.8953989310144,1009.3674900862588,1009.8953989310144
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000238,6,compute,1009.8953989310144,1010.4233077757699,1009.8953989310144,1010.4233077757699
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000238,7,compute,1010.4233077757699,1010.9512166205254,1010.4233077757699,1010.9512166205254
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000239,0,compute,1010.5223993910622,1011.0503082358177,1010.5223993910622,1011.0503082358177
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000239,1,compute,1011.0503082358177,1011.5782170805733,1011.0503082358177,1011.5782170805733
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000239,2,compute,1011.5782170805733,1012.1061259253288,1011.5782170805733,1012.1061259253288
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000239,3,compute,1012.1061259253288,1012.6340347700843,1012.1061259253288,1012.6340347700843
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000239,4,compute,1012.6340347700843,1013.1619436148399,1012.6340347700843,1013.1619436148399
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000239,5,compute,1013.1619436148399,1013.6898524595954,1013.1619436148399,1013.6898524595954
