npu_id,request_id,profile,profile_seq_len_k,profile_nql,layer,io_release_time_ms,io_ready_time_ms,io_duration_ms,comparison_deadline_ms,read_exceeds_compute_window,overrun_ms,previous_compute_end_ms,compute_start_time_ms,compute_end_time_ms,compute_duration_ms,actual_io_barrier_wait_ms
22,22,F,200,256,1,52.31287465820313,82.52527700195313,30.21240234375,61.35678519345976,True,21.16849180849337,61.35678519345976,82.52527700195313,91.56918753720976,9.043910535256627,21.16849180849337
22,22,F,200,256,2,82.52527700195313,127.08847045898438,44.56319345703125,91.56918753720976,True,35.51928292177462,91.56918753720976,127.08847045898438,136.132380994241,9.043910535256627,35.51928292177462
23,23,F,200,256,0,0.0,52.51838684082031,52.51838684082031,9.043910535256627,True,43.474476305563684,0.0,52.51838684082031,61.56229737607694,9.043910535256627,52.51838684082031
23,23,F,200,256,1,52.51838684082031,105.03341674804688,52.51502990722656,61.56229737607694,True,43.471119371969934,61.56229737607694,105.03341674804688,114.0773272833035,9.043910535256627,43.471119371969934
23,23,F,200,256,2,105.03341674804688,158.0083465576172,52.97492980957031,114.0773272833035,True,43.931019274313684,114.0773272833035,158.0083465576172,167.05225709287382,9.043910535256627,43.931019274313684
24,24,V,32,2048,0,0.0,8.068389892578125,8.068389892578125,14.369102622125,False,0.0,0.0,8.068389892578125,22.437492514703123,14.369102622125,8.068389892578125
24,24,V,32,2048,1,8.068389892578125,52.80120849609375,44.732818603515625,22.437492514703123,True,30.363715981390627,22.437492514703123,52.80120849609375,67.17031111821875,14.369102622125,30.363715981390627
24,24,V,32,2048,2,52.80120849609375,105.30197143554688,52.500762939453125,67.17031111821875,True,38.13166031732813,67.17031111821875,105.30197143554688,119.67107405767187,14.369102622125,38.13166031732813
25,25,F,200,256,0,0.0,52.33805166015625,52.33805166015625,9.043910535256627,True,43.294141124899625,0.0,52.33805166015625,61.38196219541288,9.043910535256627,52.33805166015625
25,25,F,200,256,1,52.33805166015625,84.80379567871094,32.46574401855469,61.38196219541288,True,23.42183348329806,61.38196219541288,84.80379567871094,93.84770621396757,9.043910535256627,23.42183348329806
25,25,F,200,256,2,84.80379567871094,135.56053161621094,50.7567359375,93.84770621396757,True,41.71282540224337,93.84770621396757,135.56053161621094,144.60444215146757,9.043910535256627,41.71282540224337
26,26,V,32,2048,0,0.0,8.102059228515625,8.102059228515625,14.369102622125,False,0.0,0.0,8.102059228515625,22.471161850640627,14.369102622125,8.102059228515625
26,26,V,32,2048,1,8.102059228515625,53.0596923828125,44.95763315429687,22.471161850640627,True,30.588530532171873,22.471161850640627,53.0596923828125,67.4287950049375,14.369102622125,30.588530532171873
26,26,V,32,2048,2,53.0596923828125,105.54534912109375,52.48565673828125,67.4287950049375,True,38.11655411615625,67.4287950049375,105.54534912109375,119.91445174321875,14.369102622125,38.11655411615625
27,27,F,200,256,0,0.0,52.48481750488281,52.48481750488281,9.043910535256627,True,43.440906969626184,0.0,52.48481750488281,61.52872804013944,9.043910535256627,52.48481750488281
27,27,F,200,256,1,52.48481750488281,102.91025625,50.42543874511719,61.52872804013944,True,41.38152820986056,61.52872804013944,102.91025625,111.95416678525663,9.043910535256627,41.38152820986056
27,27,F,200,256,2,102.91025625,144.281005859375,41.370749609375,111.95416678525663,True,32.32683907411837,111.95416678525663,144.281005859375,153.32491639463163,9.043910535256627,32.32683907411837
28,28,F,200,256,0,0.0,52.38410949707031,52.38410949707031,9.043910535256627,True,43.340198961813684,0.0,52.38410949707031,61.42802003232694,9.043910535256627,52.38410949707031
28,28,F,200,256,1,52.38410949707031,90.49799428710938,38.113884790039066,61.42802003232694,True,29.069974254782437,61.42802003232694,90.49799428710938,99.541904822366,9.043910535256627,29.069974254782437
28,28,F,200,256,2,90.49799428710938,137.2557830810547,46.75778879394531,99.541904822366,True,37.71387825868868,99.541904822366,137.2557830810547,146.29969361631132,9.043910535256627,37.71387825868868
29,29,F,200,256,0,0.0,52.514190673828125,52.514190673828125,9.043910535256627,True,43.470280138571496,0.0,52.514190673828125,61.558101209084754,9.043910535256627,52.514190673828125
29,29,F,200,256,1,52.514190673828125,104.91172790527344,52.39753723144531,61.558101209084754,True,43.353626696188684,61.558101209084754,104.91172790527344,113.95563844053007,9.043910535256627,43.353626696188684
29,29,F,200,256,2,104.91172790527344,156.46835327148438,51.55662536621094,113.95563844053007,True,42.51271483095431,113.95563844053007,156.46835327148438,165.512263806741,9.043910535256627,42.51271483095431
30,30,F,200,256,0,0.0,52.480621337890625,52.480621337890625,9.043910535256627,True,43.436710802633996,0.0,52.480621337890625,61.524531873147254,9.043910535256627,52.480621337890625
30,30,F,200,256,1,52.480621337890625,102.21788869628907,49.73726735839844,61.524531873147254,True,40.69335682314181,61.524531873147254,102.21788869628907,111.2617992315457,9.043910535256627,40.69335682314181
30,30,F,200,256,2,102.21788869628907,142.51022338867188,40.29233469238281,111.2617992315457,True,31.24842415712618,111.2617992315457,142.51022338867188,151.5541339239285,9.043910535256627,31.24842415712618
31,31,F,200,256,0,0.0,52.29189382324219,52.29189382324219,9.043910535256627,True,43.24798328798556,0.0,52.29189382324219,61.33580435849882,9.043910535256627,52.29189382324219
31,31,F,200,256,1,52.29189382324219,79.95722280273438,27.665328979492188,61.33580435849882,True,18.62141844423556,61.33580435849882,79.95722280273438,89.001133337991,9.043910535256627,18.62141844423556
31,31,F,200,256,2,79.95722280273438,118.25302124023438,38.2957984375,89.001133337991,True,29.251887902243368,89.001133337991,118.25302124023438,127.296931775491,9.043910535256627,29.251887902243368
