case,id,mode,ssu,seed,strategy,npu_id,A_count,B_count,warm_roles,warm_util_pct,warm_A_compute_ms,warm_B_compute_ms
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,3,6,72,A+B,97.62866562557807,1392.9536565317421,559.6196559798191
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,4,6,72,A+B,96.83616332087702,897.4296195978764,1039.293646819664
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,5,6,72,A+B,96.94458253016357,419.9240129437626,1518.967637659509
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,6,6,72,A+B,97.61217905654608,1114.9192643466204,837.3243167843011
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,7,6,72,A+B,96.63327520671085,1053.2631875945012,879.4023165397157
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,0,6,72,A+B,81.84151321881858,238.34481748815233,1398.485446888219
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,1,6,72,A+B,92.65070929041423,1133.2772450057414,719.7369408025431
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,2,6,72,A+B,93.94002194113209,1479.072113122771,399.72832569987077
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,3,6,72,A+B,90.51711565909638,1255.7457319346972,554.5965812472305
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,4,6,72,A+B,88.18387583188454,740.4745974930888,1023.2029191446018
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,5,6,72,A+B,92.34381137742989,1116.0716338035809,730.8045937450167
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,6,6,72,A+B,92.03388149137754,881.3296481478608,959.3479816796901
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,7,6,72,A+B,91.73781924818867,874.6452263413194,960.111158622454
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,0,6,72,A+B,99.20334104268049,305.2078529141527,1678.8589679394572
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,1,6,72,A+B,99.03229784065584,1421.1274798479035,559.5184769652133
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,2,6,72,A+B,97.81388774315795,1556.549429163288,399.72832569987077
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,3,6,72,A+B,99.02513052935208,1093.2832029700007,887.2194076170408
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,4,6,72,A+B,97.45921060620917,869.9177327345324,1079.266479389651
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,5,6,72,A+B,96.74969313467871,1433.368491114149,501.62537157942506
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,6,6,72,A+B,97.86378579121462,959.2213445081361,998.0543713161564
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,7,6,72,A+B,96.89495437133063,1017.6447473033577,920.2543401232547
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,0,6,72,A+B,88.53766409647913,599.0973335742319,1171.6559483553506
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,1,6,72,A+B,88.67993010361171,590.8750007744102,1182.7236012978242
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,2,6,72,A+B,95.2354328997318,1400.985987986604,503.7226700080323
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,3,6,72,A+B,90.73133971589762,906.1946892140877,908.4321051038646
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,4,6,72,A+B,93.0741699663132,980.1677095033081,881.3156898229561
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,5,6,72,A+B,90.25040180919582,755.274269708319,1049.7337664755973
