A_key,B_key,A_C_ms,B_C_ms,A_V_MB,B_V_MB,A_B_GB_s,B_B_GB_s,x,y,ideal_min_S_any_mix,ideal_total_peak_GB_s,single_A_service_over_C_B,A_count_needed_ahead_of_B,heuristic_nA,heuristic_nB,no_stall_count_ratio_B_per_A,hypothetical_B_wait_ms,hypothetical_fleet_wait_scale,note
"[200, 128]","[160, 128]",4.701241393630131,3.8623805178090707,288.178176,230.506496,61.29831503450605,59.67990334902436,1.2501954652071932,1.2171875277314474,25,980.7730405520967,0.07461154453095384,14,15,1,0.08114583518209649,0.46029212219092885,0.006119289614847714,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 2048]","[80, 128]",70.74053784115809,2.1846589028459564,285.474816,115.163136,4.035519444890419,52.71446991105885,2.4788732394366195,32.38058707883613,22,843.4315185769416,0.1484914645381939,7,11,5,14.71844867219824,1.3837762971540433,0.00611290366255942,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 512]","[128, 128]",17.12390630166978,3.1912918804865735,276.103168,184.369152,16.123842488736155,57.77257577952706,1.4975562072336264,5.365822664600304,24,924.361212472433,0.09012258277761023,12,14,2,0.7665460949429006,0.8352126528467596,0.006096832099324474,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 1024]","[128, 256]",35.44295093756352,6.024011548589168,286.916608,184.188928,8.09516703350784,30.57579264487588,1.557729941291585,5.883612714166246,13,489.21268231801406,0.09159389938778112,11,13,3,1.3577567801922106,1.1489036514108326,0.006077920402819028,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[96, 4096]","[48, 2048]",71.5425212903747,19.737809881246598,132.644864,66.322432,1.8540703012356092,3.360171792059597,2.0,3.624643348011427,2,53.76274867295355,0.08400429480148992,12,14,2,0.517806192573061,3.475041318753405,0.006071636238274663,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[128, 4096]","[48, 256]",93.01732520235409,2.6685683140655256,178.782208,68.845568,1.9220312733253628,25.798690495247154,2.5968586387434556,34.85664006129321,11,412.77904792395447,0.15226261882011646,7,11,5,15.843927300587824,1.8009868859344746,0.006050576068814756,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 2048]","[112, 1024]",68.05618615283375,20.679003603055826,273.94048,160.038912,4.025210572111872,7.7391984194224115,1.7117117117117115,3.2910766620678373,4,123.82717471075858,0.08279547858616318,13,14,2,0.4701538088668339,3.2907883969441727,0.006044249213352278,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[112, 2048]","[48, 128]",41.21264753509627,1.5135702759005252,158.59712,69.025792,3.8482633241395208,45.604616514374854,2.297650130548303,27.22876379861258,19,729.6738642299977,0.13787296458928774,8,12,4,9.076254599537526,0.9905947767310535,0.006009045984533467,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[160, 512]","[96, 64]",14.439550284018445,1.4556386842956937,229.965824,138.32192,15.926107079285147,95.02489971742311,1.6625407166123778,9.919735192394242,39,1520.3983954787698,0.10127100312322047,10,13,3,2.2891696597832865,0.4607431823709729,0.005982828065647745,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[48, 2048]","[32, 512]",19.737809881246598,3.7021326666852694,66.322432,45.416448,3.360171792059597,12.267644649445785,1.4603174603174605,5.331470170926907,5,196.28231439113256,0.08957327839277876,12,14,2,0.761638595846701,0.940437573314731,0.005955812593778863,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[80, 4096]","[48, 1024]",60.80510334800196,9.941586459040689,109.576192,67.764224,1.802088738717696,6.816238462461542,1.6170212765957448,6.116237443442134,3,109.05981539938468,0.09185002183458817,11,13,3,1.4114394100251078,1.9291676742926445,0.005948825329013388,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[144, 64]","[112, 64]",1.95895514742287,1.623410848883137,207.527936,161.390592,105.93807432141374,99.41450872465981,1.2858738135120045,1.2066909302537792,43,1695.0091891426198,0.07432239154197719,14,15,1,0.0804460620169186,0.18642580227965388,0.005947871066781087,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[144, 1024]","[96, 512]",26.047713806224994,9.070841799535495,206.176256,137.691136,7.915330210313011,15.179532290713192,1.4973821989528795,2.871587266306294,7,242.87251665141108,0.08117700514480128,13,14,2,0.41022675232947053,1.2379710004645048,0.005940881269245255,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[128, 512]","[80, 64]",11.755196923775936,1.287866527447986,183.82848,115.253248,15.638060441862143,89.49160921852969,1.5949960906958562,9.127651564226792,36,1431.865747496475,0.0991241436483584,11,13,3,2.1063811302061826,0.37169613921868105,0.005928699157947948,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 1024]","[112, 1024]",31.416419055018245,20.679003603055826,252.3136,160.038912,8.031265420738558,7.7391984194224115,1.5765765765765765,1.5192423995891033,4,128.50024673181693,0.076258993434624,14,15,1,0.10128282663927356,2.975396396944177,0.005919270254300568,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[144, 2048]","[64, 128]",51.95006680103239,1.849114595189163,204.734464,92.094464,3.940985577249178,49.80462770647203,2.223091976516634,28.094563168875936,20,796.8740433035525,0.13840033530957002,8,12,4,9.364854389625313,1.2219023648108371,0.005880177062575763,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 4096]","[48, 128]",141.33578827944143,1.5135702759005252,282.591232,69.025792,1.9994315342217217,45.604616514374854,4.093994778067885,93.37907233633484,19,729.6738642299977,0.24566455508636723,5,10,6,56.02744340180091,2.204735408310001,0.005849727009563878,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 4096]","[64, 256]",125.22954889386118,3.3396570206571456,247.988224,91.91424,1.9802692430856192,27.522059729928195,2.6980392156862743,37.497727496945096,12,440.3529556788511,0.15469915926626304,7,11,5,17.044421589520496,2.343406446009521,0.0058477773085220605,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
