strategy,request_id,npu,role,layer,io_start_ms,io_ready_ms,read_latency_ms,C_ms,compute_start_ms,compute_end_ms,stall_start_ms,stall_end_ms,exposed_stall_ms,prior_unready_A_layers,prior_unready_A_layer0,prior_unready_A_internal
asu_baseline,6000007,6,B,2,2081.040030463293,2084.5537544528515,3.513723989558457,17.147176718561678,2098.187207181855,2115.3343839004165,2098.187207181855,2098.187207181855,0,0,0,0
asu_baseline,6000007,6,B,3,2098.187207181855,2101.7009311714132,3.513723989558457,17.147176718561678,2115.3343839004165,2132.481560618978,2115.3343839004165,2115.3343839004165,0,0,0,0
asu_baseline,6000007,6,B,4,2115.3343839004165,2118.848107889975,3.513723989558457,17.147176718561678,2132.481560618978,2149.62873733754,2132.481560618978,2132.481560618978,0,0,0,0
asu_baseline,6000007,6,B,5,2132.481560618978,2135.9952846085366,3.513723989558457,17.147176718561678,2149.62873733754,2166.7759140561016,2149.62873733754,2149.62873733754,0,0,0,0
asu_baseline,6000007,6,B,6,2149.62873733754,2153.1424613270983,3.513723989558457,17.147176718561678,2166.7759140561016,2183.9230907746633,2166.7759140561016,2166.7759140561016,0,0,0,0
asu_baseline,6000007,6,B,7,2166.7759140561016,2170.28963804566,3.513723989558457,17.147176718561678,2183.9230907746633,2201.070267493225,2183.9230907746633,2183.9230907746633,0,0,0,0
asu_baseline,4000007,4,B,1,2070.9855833447564,2073.810161734152,2.8245783893958105,17.147176718561678,2088.132760063318,2105.2799367818798,2088.132760063318,2088.132760063318,0,0,0,0
asu_baseline,4000007,4,B,2,2088.132760063318,2090.957338452714,2.8245783893958105,17.147176718561678,2105.2799367818798,2122.4271135004415,2105.2799367818798,2105.2799367818798,0,0,0,0
asu_baseline,4000007,4,B,3,2105.2799367818798,2108.1045151712756,2.8245783893958105,17.147176718561678,2122.4271135004415,2139.574290219003,2122.4271135004415,2122.4271135004415,0,0,0,0
asu_baseline,4000007,4,B,4,2122.4271135004415,2125.2516918898373,2.8245783893958105,17.147176718561678,2139.574290219003,2156.721466937565,2139.574290219003,2139.574290219003,0,0,0,0
asu_baseline,4000007,4,B,5,2139.574290219003,2142.398868608399,2.8245783893958105,17.147176718561678,2156.721466937565,2173.8686436561266,2156.721466937565,2156.721466937565,0,0,0,0
asu_baseline,4000007,4,B,6,2156.721466937565,2159.5460453269607,2.8245783893958105,17.147176718561678,2173.8686436561266,2191.0158203746882,2173.8686436561266,2173.8686436561266,0,0,0,0
asu_baseline,4000007,4,B,7,2173.8686436561266,2176.6932220455224,2.8245783893958105,17.147176718561678,2191.0158203746882,2208.16299709325,2191.0158203746882,2191.0158203746882,0,0,0,0
asu_baseline,7,0,B,1,2078.078312944651,2079.2174344529662,1.1391215083153838,17.147176718561678,2095.2254896632126,2112.3726663817743,2095.2254896632126,2095.2254896632126,0,0,0,0
asu_baseline,7,0,B,2,2095.2254896632126,2096.364611171528,1.1391215083153838,17.147176718561678,2112.3726663817743,2129.519843100336,2112.3726663817743,2112.3726663817743,0,0,0,0
asu_baseline,7,0,B,3,2112.3726663817743,2113.5117878900896,1.1391215083153838,17.147176718561678,2129.519843100336,2146.6670198188976,2129.519843100336,2129.519843100336,0,0,0,0
asu_baseline,7,0,B,4,2129.519843100336,2130.6589646086513,1.1391215083153838,17.147176718561678,2146.6670198188976,2163.8141965374593,2146.6670198188976,2146.6670198188976,0,0,0,0
asu_baseline,7,0,B,5,2146.6670198188976,2147.806141327213,1.1391215083153838,17.147176718561678,2163.8141965374593,2180.961373256021,2163.8141965374593,2163.8141965374593,0,0,0,0
asu_baseline,7,0,B,6,2163.8141965374593,2164.9533180457747,1.1391215083153838,17.147176718561678,2180.961373256021,2198.1085499745827,2180.961373256021,2180.961373256021,0,0,0,0
asu_baseline,7,0,B,7,2180.961373256021,2182.1004947643364,1.1391215083153838,17.147176718561678,2198.1085499745827,2215.2557266931444,2198.1085499745827,2198.1085499745827,0,0,0,0
asu_baseline,7000007,7,B,1,2085.1710425444967,2089.890074452737,4.71903190824014,17.147176718561678,2102.3182192630584,2119.46539598162,2102.3182192630584,2102.3182192630584,0,0,0,0
asu_baseline,7000007,7,B,2,2102.3182192630584,2107.0372511712985,4.71903190824014,17.147176718561678,2119.46539598162,2136.6125727001818,2119.46539598162,2119.46539598162,0,0,0,0
asu_baseline,7000007,7,B,3,2119.46539598162,2124.18442788986,4.71903190824014,17.147176718561678,2136.6125727001818,2153.7597494187435,2136.6125727001818,2136.6125727001818,0,0,0,0
asu_baseline,7000007,7,B,4,2136.6125727001818,2141.331604608422,4.71903190824014,17.147176718561678,2153.7597494187435,2170.906926137305,2153.7597494187435,2153.7597494187435,0,0,0,0
