name,window,npu,A_compute_ms,B_compute_ms,U_percent,active_ms,both_AB
A200m1024_B32m1024_s4_r14_random_seed7,long,14,4608.09244364537,3377.6297824189433,99.82152782580391,8000.0,True
A200m1024_B32m1024_s4_r14_random_seed7,long,15,4044.553636695701,3950.488392246832,99.93802536178165,8000.0,True
A200m1024_B32m1024_s4_r14_random_seed7,full,0,7088.590187512742,5805.785263263832,99.65934164735975,12922.629177779212,True
A200m1024_B32m1024_s4_r14_random_seed7,full,1,7088.590187512721,5805.785263263941,99.65934164736043,12925.466935759854,True
A200m1024_B32m1024_s4_r14_random_seed7,full,2,7088.590187512736,5805.785263263861,99.65934164735995,12924.414267356267,True
A200m1024_B32m1024_s4_r14_random_seed7,full,3,7088.5901875127265,5805.785263263919,99.65934164736032,12938.451366057343,True
A200m1024_B32m1024_s4_r14_random_seed7,full,4,7088.590187512726,5805.785263263915,99.65934164736028,12913.129610847853,True
A200m1024_B32m1024_s4_r14_random_seed7,full,5,7088.590187512724,5805.78526326393,99.65934164736038,12919.628448179277,True
A200m1024_B32m1024_s4_r14_random_seed7,full,6,7088.5901875127465,5805.785263263807,99.6593416473596,12909.691451654586,True
A200m1024_B32m1024_s4_r14_random_seed7,full,7,7088.590187512731,5805.7852632638915,99.65934164736015,12908.415819801749,True
A200m1024_B32m1024_s4_r14_random_seed7,full,8,7088.590187512729,5805.785263263888,99.6593416473601,12922.44837597769,True
A200m1024_B32m1024_s4_r14_random_seed7,full,9,7088.59018751274,5805.785263263843,99.65934164735984,12924.192944297653,True
A200m1024_B32m1024_s4_r14_random_seed7,full,10,7088.590187512727,5805.785263263916,99.65934164736029,12921.109548449145,True
A200m1024_B32m1024_s4_r14_random_seed7,full,11,7088.590187512724,5805.785263263926,99.65934164736035,12921.567918662844,True
A200m1024_B32m1024_s4_r14_random_seed7,full,12,7088.59018751272,5805.785263263942,99.65934164736045,12930.538951338982,True
A200m1024_B32m1024_s4_r14_random_seed7,full,13,7088.590187512732,5805.785263263886,99.6593416473601,12924.610151406363,True
A200m1024_B32m1024_s4_r14_random_seed7,full,14,7088.5901875127165,5805.785263263966,99.6593416473606,12935.040122420407,True
A200m1024_B32m1024_s4_r14_random_seed7,full,15,7088.590187512722,5805.785263263941,99.65934164736045,12922.022234766418,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,0,1425.2358951150018,574.7641048849982,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,1,1329.5627985566284,670.4372014433716,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,2,1769.0585497627608,229.9056419539993,99.948209585838,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,3,1131.84860545853,868.1513945414699,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,4,1332.6796891361955,667.3203108638045,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,5,964.7829966628456,1034.5753887929968,99.96791927279212,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,6,1131.84860545853,868.1513945414699,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,7,1447.7126830462394,551.8819979978598,99.97973405220496,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,8,1655.141537069001,344.85846293099894,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,9,1111.8016166183033,888.1983833816967,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,10,1525.183691771063,474.81630822893703,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,11,1131.84860545853,868.1513945414699,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,12,1885.0471790230004,114.95282097699965,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,13,1234.2480857392025,765.7519142607975,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,14,1425.2358951150018,574.7641048849982,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,warm,15,1573.0526690126462,426.9473309873538,100.0,2000.0,True
A200m2048_B32m2048_s2_r12_random_seed7,long,0,5471.037938505986,2528.962061494014,100.0,8000.0,True
