request_id,npu_id,input_order,profile_id,seq_len_k,nql,category,arrival_ms,admission_ms,completion_ms,layer_compute_ms,layer_kv_gib,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_conditional_utilization
17000005,17,5,P4,96,512,LL,537.9381155265875,1559.4548721069227,1651.3385489174384,9.070841799535495,0.12823486328125,91.88367681051568,72.56673439628321,19.31694241423247,0.7897674202343007
17000006,17,6,P4,96,512,LL,610.0724178887353,1651.3385489174384,1731.7736027531066,9.070841799535495,0.12823486328125,80.43505383566821,72.56673439628321,7.868319439385004,0.9021779800699795
17000007,17,7,P3,64,512,SL,677.3538924401965,1731.7736027531066,1793.7530702687457,6.386487182261469,0.08526611328125,61.979467515639044,51.0918974580909,10.887570057548146,0.8243358567932045
17000008,17,8,P5,192,512,LL,711.8895428293047,1793.7530702687457,1932.8005214881246,17.12390630166978,0.25714111328125,139.0474512193789,136.991250413359,2.0562008060198878,0.9852122366286616
17000009,17,9,P6,192,1024,LL,863.7602960631174,1932.8005214881246,2205.6067747257807,34.100781654707006,0.2564697265625,67.19947851187544,67.19947851187544,0.0,1.0
18000004,18,4,P7,192,2048,LL,154.87224876184212,682.493481997399,1226.9429712200692,68.05618615283375,0.255126953125,226.94297122006924,226.94297122006924,0.0,1.0
18000005,18,5,P1,32,128,SS,631.9439713675722,1226.9429712200692,1246.8646689575087,1.1780259589150035,0.0428009033203125,19.921697737439445,9.424207671319891,10.497490066119553,0.4730624766788171
18000006,18,6,P3,64,512,SL,653.8401272687698,1246.8646689575087,1305.4657823034552,6.386487182261469,0.08526611328125,58.60111334594649,51.0918974580909,7.509215887855589,0.8718588187305316
18000007,18,7,P5,192,512,LL,702.4668150650814,1305.4657823034552,1442.4570327168142,17.12390630166978,0.25714111328125,136.991250413359,136.991250413359,0.0,1.0
18000008,18,8,P1,32,128,SS,848.0947036248167,1442.4570327168142,1562.0732803100477,1.1780259589150035,0.0428009033203125,119.61624759323354,9.424207671319891,110.19203992191365,0.07878701983168548
18000009,18,9,P7,192,2048,LL,882.4581370573986,1562.0732803100477,2114.0811632515374,68.05618615283375,0.255126953125,437.9267196899523,430.3683259711329,7.558393718819389,0.9827405057079626
19000002,19,2,P7,192,2048,LL,0,844.5257925091544,1388.9752817318247,68.05618615283375,0.255126953125,388.9752817318247,388.9752817318247,0.0,1.0
19000003,19,3,P3,64,512,SL,0,1388.9752817318247,1513.8099855519488,6.386487182261469,0.08526611328125,124.8347038201241,51.0918974580909,73.7428063620332,0.40927639426060447
19000004,19,4,P1,32,128,SS,70.3690785577536,1513.8099855519488,1610.1319808715712,1.1780259589150035,0.0428009033203125,96.32199531962237,9.424207671319891,86.89778764830248,0.09784066079661065
19000005,19,5,P3,64,512,SL,73.49358619758743,1610.1319808715712,1690.6868166066363,6.386487182261469,0.08526611328125,80.55483573506513,51.0918974580909,29.462938276974228,0.6342499117759463
19000006,19,6,P6,192,1024,LL,117.40275950619707,1690.6868166066363,1963.4930698442915,34.100781654707006,0.2564697265625,272.80625323765526,272.80625323765526,0.0,1.0
19000007,19,7,P5,192,512,LL,387.9740500257442,1963.4930698442915,2100.48432025765,17.12390630166978,0.25714111328125,36.50693015570846,36.50693015570846,0.0,1.0
