scenario,policy,seed,request_id,npu_id,category,profile,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,in_warm_2_4s,in_long_2_6s
semi,static,19,21000021,21,LS,L160_M256,8966.272376405912,9025.201887076175,58.92951067026297,58.92951067026337,0.9999999999999932,True,False,False
semi,static,19,21000022,21,SL,L32_M4096,9025.201887076175,9253.944623043215,228.74273596704006,228.74273596704626,0.9999999999999729,True,False,False
semi,static,19,21000023,21,SL,L32_M4096,9253.944623043215,9482.687359010255,228.74273596704006,228.74273596704626,0.9999999999999729,True,False,False
semi,static,19,21000024,21,LL,L200_M4096,9482.687359010255,10613.373665245781,1130.686306235526,1130.6863062355314,0.9999999999999952,True,False,False
semi,static,19,21000025,21,SS,L32_M256,10613.373665245781,10629.353502813574,15.979837567792856,15.979837567787547,1.0000000000003322,True,False,False
semi,static,19,21000026,21,LL,L160_M1024,10629.353502813574,10861.489467916865,232.1359651032908,229.85653940820262,1.0099167319796811,True,False,False
semi,static,19,21000027,21,SL,L64_M2048,10861.489467916865,11062.341611254276,200.8521433374117,200.85214333740902,1.0000000000000133,True,False,False
semi,static,19,21000028,21,SS,L80_M256,11062.341611254276,11094.427576228321,32.085964974045055,32.085964974046185,0.9999999999999648,True,False,False
semi,static,19,21000029,21,SL,L64_M1024,11094.427576228321,11195.43510231172,101.00752608339826,101.00752608339441,1.0000000000000382,True,False,False
semi,static,19,22000000,22,SL,L32_M2048,0.0,286.8479782229297,286.8479782229297,114.952820977,2.495353970306852,False,False,False
semi,static,19,22000001,22,SS,L32_M256,286.8479782229297,302.8278157907171,15.9798375677874,15.979837567787547,0.9999999999999908,True,False,False
semi,static,19,22000002,22,SL,L80_M2048,302.8278157907171,548.9925426262092,246.1647268354921,243.80186035081854,1.0096917491986055,True,False,False
semi,static,19,22000003,22,LS,L128_M256,548.9925426262092,597.184635014923,48.19209238871372,48.19209238871334,1.0000000000000078,True,False,False
semi,static,19,22000004,22,SL,L64_M1024,597.184635014923,698.1921610983176,101.00752608339462,101.00752608339441,1.0000000000000022,True,False,False
semi,static,19,22000005,22,LL,L128_M2048,698.1921610983176,1070.8430305729164,372.65086947459884,372.6508694745985,1.0000000000000009,True,False,False
semi,static,19,22000006,22,LL,L160_M4096,1070.8430305729164,1986.7804050036268,915.9373744307104,915.9373744307104,1.0,True,False,False
semi,static,19,22000007,22,LS,L200_M256,1986.7804050036268,2059.13168928568,72.35128428205303,72.35128428205302,1.0000000000000002,True,False,False
semi,static,19,22000008,22,SS,L64_M256,2059.13168928568,2085.8489454509386,26.717256165258732,26.717256165257165,1.0000000000000586,True,True,True
semi,static,19,22000009,22,SL,L64_M4096,2085.8489454509386,2486.390305136449,400.54135968551054,400.5413596855101,1.000000000000001,True,True,True
