scenario,policy,seed,window,category,count,passed,percent,active_U_percent
full,static,7,warm_2_4s,SS,37,37,100.0,97.70865140739467
full,static,7,warm_2_4s,SL,66,62,93.93939393939394,95.27357832650242
full,static,7,warm_2_4s,LS,39,39,100.0,96.77474984923185
full,static,7,warm_2_4s,LL,61,11,18.0327868852459,57.29206868399076
full,static,7,long_2_6s,SS,73,73,100.0,98.38790437010097
full,static,7,long_2_6s,SL,123,118,95.9349593495935,95.15838179071321
full,static,7,long_2_6s,LS,80,80,100.0,93.7168472492194
full,static,7,long_2_6s,LL,123,30,24.390243902439025,53.06735778190543
full,static,7,full_population,SS,288,278,96.52777777777777,93.54101048480221
full,static,7,full_population,SL,384,350,91.14583333333333,89.60543653125362
full,static,7,full_population,LS,288,274,95.13888888888889,86.98069079868132
full,static,7,full_population,LL,384,124,32.291666666666664,54.97276028384419
semi,aggressive,19,warm_2_4s,SS,18,18,100.0,98.24693355890408
semi,aggressive,19,warm_2_4s,SL,64,64,100.0,99.78153111504123
semi,aggressive,19,warm_2_4s,LS,14,11,78.57142857142857,75.35797372928737
semi,aggressive,19,warm_2_4s,LL,71,71,100.0,99.5570916737966
semi,aggressive,19,long_2_6s,SS,34,34,100.0,96.30992801076458
semi,aggressive,19,long_2_6s,SL,124,124,100.0,99.86658870914684
semi,aggressive,19,long_2_6s,LS,31,28,90.3225806451613,82.71620095276947
semi,aggressive,19,long_2_6s,LL,142,142,100.0,99.69237897595872
semi,aggressive,19,full_population,SS,96,88,91.66666666666667,87.49004748842222
semi,aggressive,19,full_population,SL,384,379,98.69791666666667,98.45841049598843
semi,aggressive,19,full_population,LS,96,84,87.5,80.02834307077853
semi,aggressive,19,full_population,LL,384,377,98.17708333333333,98.34986403906755
semi,aggressive,43,warm_2_4s,SS,8,8,100.0,99.76912535621375
semi,aggressive,43,warm_2_4s,SL,61,61,100.0,99.71486048620054
semi,aggressive,43,warm_2_4s,LS,14,13,92.85714285714286,85.8757278483385
semi,aggressive,43,warm_2_4s,LL,75,75,100.0,99.72588049655518
semi,aggressive,43,long_2_6s,SS,27,27,100.0,96.23549545550043
semi,aggressive,43,long_2_6s,SL,130,130,100.0,99.79712308947124
semi,aggressive,43,long_2_6s,LS,31,30,96.7741935483871,89.28303609118876
semi,aggressive,43,long_2_6s,LL,143,143,100.0,99.5543855421159
semi,aggressive,43,full_population,SS,96,91,94.79166666666667,91.28909428260599
semi,aggressive,43,full_population,SL,384,377,98.17708333333333,98.54413662248216
semi,aggressive,43,full_population,LS,96,86,89.58333333333333,83.65445060702523
semi,aggressive,43,full_population,LL,384,374,97.39583333333333,97.98449919097885
semi,aggressive,7,warm_2_4s,SS,16,16,100.0,99.00569096549958
semi,aggressive,7,warm_2_4s,SL,83,83,100.0,99.98769887473802
semi,aggressive,7,warm_2_4s,LS,17,17,100.0,88.05663409071664
semi,aggressive,7,warm_2_4s,LL,64,64,100.0,99.16876836043352
semi,aggressive,7,long_2_6s,SS,33,33,100.0,97.22554567815116
semi,aggressive,7,long_2_6s,SL,142,142,100.0,99.97583667330056
semi,aggressive,7,long_2_6s,LS,32,32,100.0,89.22480045537175
semi,aggressive,7,long_2_6s,LL,133,133,100.0,99.44202084111629
semi,aggressive,7,full_population,SS,96,96,100.0,93.8416874990527
semi,aggressive,7,full_population,SL,384,383,99.73958333333333,99.16998361618477
semi,aggressive,7,full_population,LS,96,85,88.54166666666667,82.94488115941229
semi,aggressive,7,full_population,LL,384,379,98.69791666666667,97.87827977818418
semi,asu_baseline,19,warm_2_4s,SS,18,13,72.22222222222223,75.12182220616253
semi,asu_baseline,19,warm_2_4s,SL,63,63,100.0,99.68830195308225
semi,asu_baseline,19,warm_2_4s,LS,13,12,92.3076923076923,83.20304362461346
semi,asu_baseline,19,warm_2_4s,LL,76,76,100.0,99.94111340003518
semi,asu_baseline,19,long_2_6s,SS,33,24,72.72727272727273,73.26346398548601
semi,asu_baseline,19,long_2_6s,SL,122,122,100.0,99.73975656129751
semi,asu_baseline,19,long_2_6s,LS,28,26,92.85714285714286,84.70912143346911
semi,asu_baseline,19,long_2_6s,LL,147,147,100.0,99.92485829462905
semi,asu_baseline,19,full_population,SS,96,55,57.291666666666664,45.12574686203708
semi,asu_baseline,19,full_population,SL,384,377,98.17708333333333,98.71801981544631
semi,asu_baseline,19,full_population,LS,96,79,82.29166666666667,72.55540035690267
semi,asu_baseline,19,full_population,LL,384,384,100.0,99.67372646205575
semi,asu_baseline,43,warm_2_4s,SS,10,6,60.0,51.2237503318848
semi,asu_baseline,43,warm_2_4s,SL,60,58,96.66666666666667,98.64556462771472
semi,asu_baseline,43,warm_2_4s,LS,14,6,42.857142857142854,62.19514537678583
semi,asu_baseline,43,warm_2_4s,LL,74,74,100.0,99.88421322468696
semi,asu_baseline,43,long_2_6s,SS,27,12,44.44444444444444,49.87232364131228
