scenario,policy,seed,window,ssu_id,capacity_GiB_s,mean_demand_GiB_s,min_demand_GiB_s,max_demand_GiB_s,overload_percent,actual_GiB_s,busy_percent
full,static,19,long_2_6s,2,40,62.475189407609356,41.280380144421315,101.74005421343988,100.0,39.015590416475526,97.53897604118882
full,static,19,full_population,0,40,58.54563823390167,1.1097735225586696,172.85634907853375,93.46541284516718,35.107935780737925,87.76983945184482
full,static,19,full_population,1,40,64.28989311052669,1.0496050785642994,190.76460179527552,94.51792276946227,38.56102647065941,96.40256617664852
full,static,19,full_population,2,40,62.7231001950862,1.156571201220804,178.6706812367246,94.41070593248406,37.63526362335595,94.08815905838986
full,static,43,warm_2_4s,0,40,59.93138697004853,41.39060817135315,93.13129485362532,100.0,36.20654296875001,90.51635742187501
full,static,43,warm_2_4s,1,40,65.81028122743648,45.96925856952209,101.31279366652188,100.0,40.0,100.0
full,static,43,warm_2_4s,2,40,63.63240240299504,44.03733752404185,99.87351489541605,100.0,38.68290710449217,96.70726776123043
full,static,43,long_2_6s,0,40,58.044815609307896,39.687143360733,96.9774367159147,99.86704043758186,36.01801400718338,90.04503501795847
full,static,43,long_2_6s,1,40,64.21878096650843,45.251338441268885,104.78756003605932,100.0,40.0,100.0
full,static,43,long_2_6s,2,40,62.12898027770506,42.67352196599124,103.7703004459807,100.0,38.65895202038189,96.64738005095472
full,static,43,full_population,0,40,57.35021923975869,1.046466270895285,131.25629521398912,93.95141573330622,35.11313457807087,87.78283644517718
full,static,43,full_population,1,40,62.98156388088944,1.1288859687470367,144.98788315590807,94.70959975881532,38.56673660305862,96.41684150764657
full,static,43,full_population,2,40,61.50269956403989,1.1121239864318317,141.21394419177224,94.22377633129135,37.64083666841823,94.10209167104557
full,static,7,warm_2_4s,0,40,58.59247546362493,34.87369273179018,89.38298594776595,94.61607645103395,36.95998060344327,92.39995150860818
full,static,7,warm_2_4s,1,40,63.8634853333388,37.53433071798714,94.8242709821319,97.13094229386358,40.0,100.0
full,static,7,warm_2_4s,2,40,62.1321152066967,36.74977716627509,91.4783990136931,96.72403524991437,39.33316480754483,98.33291201886209
full,static,7,long_2_6s,0,40,60.817724004445125,34.87369273179018,89.38298594776595,97.30803822551697,36.58328085958296,91.45820214895741
full,static,7,long_2_6s,1,40,66.54234228806011,37.53433071798714,96.24055309617005,98.5654711469318,40.0,100.0
full,static,7,long_2_6s,2,40,64.75292527863613,36.74977716627509,94.3727823630248,98.36201762495718,39.089399633997026,97.72349908499257
full,static,7,full_population,0,40,58.36841840620481,1.6963458522857762,149.29728024794306,94.12503843877785,35.59942748737765,88.99856871844413
full,static,7,full_population,1,40,64.10064144244579,1.659469491192834,166.98059509278255,95.7190280408407,39.10085953940514,97.75214884851286
full,static,7,full_population,2,40,62.5580586505252,1.5692847611114913,162.14819368210135,95.5371465034606,38.16213652364842,95.40534130912104
semi,aggressive,19,warm_2_4s,0,40,33.03350972679867,22.549551212420663,59.4001780477294,17.566978349483147,31.41253940609996,78.53134851524989
semi,aggressive,19,warm_2_4s,1,40,36.65037646510908,24.89967584474486,66.3469358187376,27.335965231212494,34.81491782609449,87.03729456523622
semi,aggressive,19,warm_2_4s,2,40,35.653128252487576,24.347853342434696,64.80866240036299,22.140567694821527,33.96713326655524,84.91783316638809
semi,aggressive,19,long_2_6s,0,40,32.59900082329929,22.549551212420663,59.4001780477294,16.782333945164563,31.432902124931264,78.58225531232817
semi,aggressive,19,long_2_6s,1,40,36.06891891092694,24.89967584474486,66.3469358187376,25.35062979065653,34.809650019218374,87.02412504804595
semi,aggressive,19,long_2_6s,2,40,35.109142490971635,24.347853342434696,64.80866240036299,20.946580540881435,33.88846647942345,84.72116619855862
semi,aggressive,19,full_population,0,40,33.001234448505556,0.5795360162109804,107.20687302590326,16.807791269036773,30.918672355619368,77.29668088904842
semi,aggressive,19,full_population,1,40,36.49353415929887,0.6211010993407546,118.19660927546064,26.12200545860904,34.16199041330447,85.40497603326118
semi,aggressive,19,full_population,2,40,35.42089284961566,0.6614786086669051,113.37196970909716,22.02532472175501,33.17709984026416,82.9427496006604
semi,aggressive,43,warm_2_4s,0,40,30.586702871824322,22.156899398684715,57.92205979540092,10.366323980808783,29.88070550218157,74.70176375545392
semi,aggressive,43,warm_2_4s,1,40,33.834648965500215,24.22582719755864,66.93531996911285,14.459946826266286,33.01333451362558,82.53333628406395
semi,aggressive,43,warm_2_4s,2,40,32.52156357967661,23.091181038427802,63.07834064619119,14.910942613518932,31.743742228469326,79.35935557117332
semi,aggressive,43,long_2_6s,0,40,31.733187144081793,22.156899398684715,57.92205979540092,13.98774246997159,30.869756720240204,77.17439180060052
semi,aggressive,43,long_2_6s,1,40,34.86768460987274,24.22582719755864,66.93531996911285,19.37821157528308,33.942705984507135,84.85676496126786
semi,aggressive,43,long_2_6s,2,40,33.90611746206573,23.091181038427802,63.07834064619119,19.297178000863767,32.9992407979837,82.49810199495926
semi,aggressive,43,full_population,0,40,32.725430320883305,0.5746759573241831,98.09879431856695,16.844766256231757,30.776688113075313,76.94172028268828
semi,aggressive,43,full_population,1,40,36.17695649015635,0.6054621693236486,109.17339510120856,27.64308063975325,34.005112256414634,85.01278064103658
semi,aggressive,43,full_population,2,40,35.13009082732801,0.6494424721802479,105.81507620207528,24.565723904164706,33.02474448242577,82.56186120606442
