order_mode,npu,rowposition,role,profile,data_key,sim_category,request_id,sourceid,source_npu,original_request_id,arrival_ms,n_layers,per_layer_compute_ms,request_pure_compute_ms,total_gib_per_layer,request_total_read_gib,ssu0_gib_per_layer,ssu1_gib_per_layer,ssu2_gib_per_layer,ssu3_gib_per_layer,ssu4_gib_per_layer,ssu5_gib_per_layer,ssu0_blocks_per_layer,ssu1_blocks_per_layer,ssu2_blocks_per_layer,ssu3_blocks_per_layer,ssu4_blocks_per_layer,ssu5_blocks_per_layer
random,20,21,short,S1,32K/1024,SL,20000021,22000057,22,22000016,0.0,8,7.257231579079756,58.057852632638046,0.0416259765625,0.3330078125,0.007049560546875,0.0068817138671875,0.0068817138671875,0.0068817138671875,0.0068817138671875,0.007049560546875,42,41,41,41,41,42
random,20,22,long,L,176K/1024,LL,20000022,11000001,11,11000001,0.0,8,31.416419055018245,251.33135244014596,0.2349853515625,1.8798828125,0.0391082763671875,0.0391082763671875,0.039276123046875,0.039276123046875,0.0391082763671875,0.0391082763671875,233,233,234,234,233,233
random,20,23,short,S1,32K/1024,SL,20000023,26000051,26,26000010,0.0,8,7.257231579079756,58.057852632638046,0.0416259765625,0.3330078125,0.007049560546875,0.007049560546875,0.0068817138671875,0.0068817138671875,0.0068817138671875,0.0068817138671875,42,42,41,41,41,41
random,20,24,short,S2,48K/1024,SL,20000024,21000017,21,21000039,0.0,8,9.941586459040689,79.53269167232551,0.0631103515625,0.5048828125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.010406494140625,0.010406494140625,0.0105743408203125,63,63,63,62,62,63
random,20,25,short,S3,64K/1024,SL,20000025,26000065,26,26000047,0.0,8,12.625940760424301,101.00752608339441,0.0845947265625,0.6767578125,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,84,84,84,84,84,84
random,20,26,short,S1,32K/1024,SL,20000026,31000032,31,31000017,0.0,8,7.257231579079756,58.057852632638046,0.0416259765625,0.3330078125,0.0068817138671875,0.007049560546875,0.007049560546875,0.0068817138671875,0.0068817138671875,0.0068817138671875,41,42,42,41,41,41
random,20,27,short,S1,32K/1024,SL,20000027,23000038,23,23000009,0.0,8,7.257231579079756,58.057852632638046,0.0416259765625,0.3330078125,0.007049560546875,0.0068817138671875,0.0068817138671875,0.0068817138671875,0.0068817138671875,0.007049560546875,42,41,41,41,41,42
random,20,28,short,S2,48K/1024,SL,20000028,29000002,29,29000043,0.0,8,9.941586459040689,79.53269167232551,0.0631103515625,0.5048828125,0.010406494140625,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.010406494140625,62,63,63,63,63,62
random,20,29,short,S3,64K/1024,SL,20000029,22000009,22,22000054,0.0,8,12.625940760424301,101.00752608339441,0.0845947265625,0.6767578125,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,84,84,84,84,84,84
random,20,30,short,S2,48K/1024,SL,20000030,27000026,27,27000039,0.0,8,9.941586459040689,79.53269167232551,0.0631103515625,0.5048828125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.010406494140625,0.010406494140625,63,63,63,63,62,62
random,20,31,short,S3,64K/1024,SL,20000031,27000062,27,27000049,0.0,8,12.625940760424301,101.00752608339441,0.0845947265625,0.6767578125,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,84,84,84,84,84,84
