experiment,case,ssu,seed,strategy,start_ms,end_ms,seq_len_k,nql,compute_ms,active_ms,share_of_fleet_time_compute,share_of_fleet_time_active,profile_compute_fraction,all_cards_active
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0,1000,32,128,254.45360712563814,1222.6755612397496,0.007951675222676192,0.03820861128874218,0.20811212327465775,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0,1000,32,256,303.61691378796115,795.6893443004878,0.009488028555873785,0.024865292009390246,0.3815772021615786,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0,1000,64,512,891.7571093972745,1246.308944643169,0.027867409668664828,0.03894715452009903,0.7155185022382983,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0,1000,96,512,1078.2958771976332,1396.8759065473623,0.03369674616242604,0.043652372079605074,0.7719339077605264,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0,1000,192,512,4824.938944030222,5222.500509503959,0.15077934200094445,0.1632031409219987,0.9238752462062474,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0,1000,192,1024,6321.37473699136,6532.27219231607,0.19754296053098,0.20413350600987717,0.9677145334554814,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0,1000,192,2048,15412.177592830449,15583.677541449208,0.48163054977595154,0.4869899231702877,0.9889948987867205,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,1000,2000,32,128,269.61205842615186,419.85794726319114,0.008425376825817246,0.013120560851974723,0.6421506611547917,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,1000,2000,32,256,175.7782132456614,205.2150118445843,0.005493069163926919,0.006412969120143259,0.8565563097244742,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,1000,2000,64,512,640.9998143454687,643.5708013015434,0.020031244198295897,0.020111587540673232,0.9960051218127436,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,1000,2000,96,512,808.4392171057433,813.4626444102763,0.025263725534554478,0.025420707637821133,0.9938246367684471,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,1000,2000,192,512,2759.78595191767,2786.1472901195457,0.08624331099742719,0.08706710281623581,0.9905384262004524,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,1000,2000,192,1024,6063.916676727386,6091.996877175775,0.1894973961477308,0.19037490241174296,0.9953906410304323,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,1000,2000,192,2048,20997.28219501651,21039.749427885086,0.6561650685942659,0.657492169621409,0.9979815713578655,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,2000,3000,32,128,224.34903307813443,509.0110456676241,0.007010907283691701,0.015906595177113254,0.440754743905166,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,2000,3000,32,256,255.67740108462567,316.71767843632847,0.007989918783894552,0.009897427451135265,0.8072722758860015,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,2000,3000,64,512,630.089553416165,636.0697267476376,0.019690298544255157,0.019877178960863672,0.9905982424882088,True
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,2000,3000,96,512,1125.6463278603292,1127.209836298091,0.03517644774563529,0.03522530738431534,0.9986129393237939,True
