regime,policy,ratio,macro_cdf
full,baseline,6.032230908267487,0.8143732703500978
full,baseline,6.085139418096723,0.8161653850454383
full,baseline,6.090686198733101,0.8178574324227649
full,baseline,6.098012516893005,0.8196495471181052
full,baseline,6.115426808383155,0.8212676700954518
full,baseline,6.121411201489492,0.8230597847907921
full,baseline,6.12888195260413,0.8248518994861328
full,baseline,6.16204503868443,0.8266440141814732
full,baseline,6.186651750691967,0.8283360615587997
full,baseline,6.399230567959365,0.8301281762541403
full,baseline,6.4376012292388545,0.8319202909494807
full,baseline,6.454001507738775,0.833538413926827
full,baseline,6.527581480330005,0.8351565369041732
full,baseline,6.56674239959035,0.8368485842814999
full,baseline,7.016115649477471,0.8385406316588265
full,baseline,7.09809049744156,0.8401587546361727
full,baseline,7.215530308806504,0.8419508693315132
full,baseline,7.2283390417780495,0.8435689923088595
full,baseline,7.25265057593612,0.8452610396861862
full,baseline,7.26104168671679,0.8468791626635324
full,baseline,7.264726900607689,0.8484972856408787
full,baseline,7.272608398694715,0.8502894003362192
full,baseline,7.40897314041554,0.8519075233135655
full,baseline,7.523123987352945,0.8535256462909118
full,baseline,7.60047259168422,0.8553177609862522
full,baseline,7.606625268307589,0.8569358839635984
full,baseline,7.645900242639903,0.8585540069409449
full,baseline,7.665912842631884,0.8601721299182911
full,baseline,7.671356361223782,0.8618641772956176
full,baseline,7.729310784826737,0.8634823002729638
full,baseline,7.757677663277042,0.8652744149683044
full,baseline,7.80248114163305,0.8669664623456309
full,baseline,7.803365607426741,0.8685845853229773
full,baseline,7.835754434807197,0.8702766327003038
full,baseline,7.858849968059339,0.8720687473956442
full,baseline,7.87780655335041,0.8737607947729709
full,baseline,7.894456714735613,0.8753789177503172
full,baseline,8.072799170745474,0.8769970407276634
full,baseline,8.074955489212288,0.878789155423004
full,baseline,8.09818664636345,0.8804072784003503
full,baseline,8.226069621858382,0.8821993930956907
full,baseline,8.23348277389788,0.8839915077910313
full,baseline,8.237046996475371,0.8856096307683775
full,baseline,8.257082818315343,0.887401745463718
full,baseline,8.397334068731636,0.8891938601590584
full,baseline,8.400860313776832,0.8908859075363851
full,baseline,8.476170702285806,0.8925779549137117
full,baseline,8.544676114710635,0.8943700696090522
full,baseline,8.575592245104579,0.8961621843043927
full,baseline,8.630989206462747,0.8979542989997332
full,baseline,8.727808085955363,0.8995724219770794
full,baseline,8.74001847358353,0.901264469354406
full,baseline,8.753291177348272,0.9030565840497465
full,baseline,8.776164727125824,0.904748631427073
full,baseline,8.826511734115178,0.9065407461224134
full,baseline,8.841807535080923,0.9081588690997598
full,baseline,8.945803028691433,0.909776992077106
full,baseline,9.200925599566002,0.9113951150544524
full,baseline,9.229812815233547,0.9130132380317986
full,baseline,9.283843723627806,0.9146313610091449
full,baseline,9.28739596519913,0.9163234083864715
full,baseline,9.348045067851125,0.918015455763798
full,baseline,9.381850129982924,0.9197075031411246
full,baseline,9.398221441829733,0.9213995505184512
full,baseline,9.420291061434916,0.9230915978957778
full,baseline,9.453744480596207,0.9247836452731043
full,baseline,9.52353489564165,0.9265757599684448
full,baseline,9.530172951593338,0.9283678746637852
full,baseline,9.75426314756407,0.9301599893591258
full,baseline,9.771030754459725,0.9318520367364523
full,baseline,9.807787615457942,0.9334701597137988
full,baseline,9.818912464689982,0.9352622744091392
full,baseline,9.864361614933221,0.9368803973864854
full,baseline,9.918119588990594,0.9386725120818259
full,baseline,9.98991754817737,0.9404646267771665
full,baseline,9.996922348621473,0.9422567414725069
full,baseline,10.08385297206309,0.9440488561678474
full,baseline,10.087164527713538,0.945840970863188
full,baseline,10.85455309999222,0.9475330182405145
full,baseline,11.758861418055213,0.9492250656178411
full,baseline,11.957434136154241,0.9508431885951873
full,baseline,12.075173783680118,0.9524613115725336
full,baseline,12.675917510800163,0.9540794345498799
full,baseline,13.549992559772408,0.9557714819272065
full,baseline,13.565083818153632,0.957563596622547
full,baseline,13.894749943152638,0.9592556439998736
full,baseline,13.911766228953024,0.961047758695214
full,baseline,14.087096141530647,0.9627398060725406
full,baseline,14.118393113589413,0.9645319207678811
full,baseline,14.19111529014803,0.9661500437452274
full,baseline,14.351072223088028,0.9677681667225736
full,baseline,14.3669186269982,0.96938628969992
full,baseline,14.368365141324105,0.9710044126772662
full,baseline,14.492391028101272,0.9727965273726067
full,baseline,14.60041599358589,0.974414650349953
full,baseline,14.643891993290692,0.9761066977272795
full,baseline,14.683673480069219,0.9777248207046259
full,baseline,14.693132031603106,0.9795169353999663
full,baseline,14.740528927422268,0.9813090500953069
full,baseline,14.996173362254781,0.9830010974726334
full,baseline,15.153256225195337,0.98469314484996
full,baseline,15.450087415788802,0.9863851922272865
full,baseline,15.495678444598596,0.9880772396046131
full,baseline,15.583752666762901,0.9896953625819593
full,baseline,15.597214388189867,0.991387409959286
full,baseline,15.706885988415435,0.9931795246546264
full,baseline,15.749821689342243,0.9949716393499669
